1983 Cleveland                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,DEF 15,OFF 10, -5*,5,33,DEF 15,19,DEF 15,DEF 15,,,15,F - 8,10,,,,,,,,,,,,
,11,6,5,1,9,DEF 5,PI 16,18,TD,,,,10,-14,11,,,,,,,,,,,,
,12,OFF 10,9,F + 2,OFF 10,10,DEF 5X,14,46,17,,Yardage factors: 100% / 80%,14,-3,12,,,,,,,,,,,,
,13,5,DEF 5,DEF 5,5,3,DEF 5,DEF 5,DEF 5,22,,,11,-7,13,,,,,,,,,,,,
,14,-2,-1,9*,4,OFF 5,4,PI 16,OFF 5,5,,,23,-10,14,,,,,,,,,,,,
,15,DEF 5,1,8,-1,*,8,OFF 5,INT 32,23,,,29,-11,15,,,,,,,,,,,,
,16,OFF 10,F - 1,2,5,11,INT 9,DEF 5X,35,15,,,13,6,16,,,,,,,,,,,,
,17,7,OFF 10,OFF 10,F,35,OFF 5,14,32,8*,,,10,4,17,,,,,,,,,,,,
,18,8,DEF 15,DEF 15,OFF 10,7*,4*,DEF 15,25,OFF 5,,,23,5,18,,,,,,,,,,,,
,19,-3,2,F - 16,7,QT,INT 10,QT,OFF 15,QT*,,,10,2,19,,,,,,,,,,,,
,20,OFF 5,6,3,5,4,-1,17,DEF 5X,PI 12,,,12,-4,20,,,,,,,,,,,,
,21,5,5,8,-3,6,8,8,42,INT 4,,Power rating: 221½ ± 1½,24,-9,21,,,,,,,,,,,,
,22,3,OFF 5,OFF 15,8,13,4,13,33,16,,,10,7,22,,,,,,,,,,,,
,23,6,B,7,6,16*,11,16,QT*,11*,,,18,10,23,,,,,,,,,,,,
,24,5,5,B*,,5*,9,14,QT,DEF 5,,,11,F - 11,24,,,,,,,,,,,,
,25,1,, -1*,OFF 5,-5,10,12,23*,9,,,19,-6,25,,,,,,,,,,,,
,26,-1,-2,OFF 5,1,17,5,10,21,4,,,27,-7,26,Fumble Recovered 10-30; Lost Ball 31-39,,,,,,,,,,,
,27,4,5,7,6,21,6,17,48,2,,,13,-2,27,,,,,,,,,,,,
,28,5,3,9,2,INT -4,9,14,PI 29,13,,,10,-5,28,,,,,,,,,,,,
,29,9,5,4,DEF 15,DEF 15,8,13,TD,14*,,,14,9,29,,,,,,,,,,,,
,30,5,4,7,3,F + 18,3,14,INT 36,,,,10,-12,30,,,,,,,,,,,,
,31,B,7,6,DEF 5,7,,16,,,,,16,8,31,,,,,,,,,,,,
,32,5,6,5,5,,,,,,,,11,-1,32,,,,,,,,,,,,
,33,2,3, -2*,6,,,,,7*,,,12,-11,33,,,,,,,,,,,,
,34,5,7,5*,5,12*,8,,,,,,15,-9,34,,,,,,,,,,,,
,35,5,4,6*,6,-1,12,,OFF 10,,,,23,-8,35,,,,,,,,,,,,
,36,5,5,,5,8*,,,,,,,14,-10,36,,,,,,,,,,,,
,37,5,8,-3,B,-1,8,OFF 10,, -1*,,,17,-8,37,,,,,,,,,,,,
,38,,5,5,-2,OFF 10,7,INT 15,OFF 10,OFF 10,,,22,-13,38,,,,,,,,,,,,
,39,F,-3,-7,6,18,OFF 10,15,OFF 10,DEF 5X,,,11,-12,39,,,,,,,,,,,,
,"By 1983, many of the current starters from previous seasons were ending. Quarterback Brian Sipe, in his last season  had 26 touchdown passes and 23 interceptions, nearly the same ratio (28-to-26) he had had in 1979. Mike Pruitt, in his last great season with the Browns, rushed for 1,184 yards.There were just seven contests decided by seven points or less, with the Browns going 4-3. The Browns scored 356 to their opponents' 342. The 83 Browns finished 9-7 and just out of the playoffs, being eliminated on the final day of the regular season. 
",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,10%,13%,25%,14%,33%,24%,35%,35%,40%,,,0%,75%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,47,10,2,216,31-39,,,,,,,
"1 +1, 2",,75%,71%,56%,67%,54%,64%,47%,25%,43%,,,100%,18%,,,11,3,214,31,,,,,,,
"4 +1, 2",,59%,59%,50%,59%,51%,62%,47%,25%,40%,,,100%,18%,,,12,4,211,31,102,,,,,,
8 +2,,2%,6%,10%,5%,36%,45%,47%,25%,27%,,,100%,10%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,27%,8%,41%,25%,15%,,,74%,0%,,,14,6,202,,,,,,,,
B / T3,,4%,5%,6%,4%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,2%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,1%,2%,2%,1%,3%,0%,0%,0%,0%,,,0%,6%,,,18,2,183,,,,,,,,
OFF Pen,,6%,6%,9%,8%,6%,3%,7%,16%,4%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,4%,3%,3%,5%,2%,6%,8%,7%,10%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,2%,2%,3%,6%,3%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,0%,0%,0%,10%,0%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,DEF 15,OFF 10,-5,5,33,DEF 15,19,DEF 15,DEF 15,0,0,15,F - 8,,,32,12,93,,,,,,,,
,,6,5,1,9,DEF 5,PI 16,18,TD,0,0,0,10,-14,,,33,15,81,,,,,,,,
,,OFF 10,9,F + 2,OFF 10,10,DEF 5X,14,46,17,0,Yardage factors: 100% / 80%,14,-3,,,34,18,66,,,,,,,,
,,5,DEF 5,DEF 5,5,3,DEF 5,DEF 5,DEF 5,22,0,0,11,-7,,,35,18,48,,,,,,,,
,,-2,-1,9,4,OFF 5,4,PI 16,OFF 5,5,0,0,23,-10,,,36,12,30,,,,,,,,
,,DEF 5,1,8,-1,0,8,OFF 5,INT 32,23,0,0,29,-11,,,37,9,18,,,,,,,,
,,OFF 10,F - 1,2,5,11,INT 9,DEF 5X,35,15,0,0,13,6,,,38,6,9,,,,,,,,
,,7,OFF 10,OFF 10,F,35,OFF 5,14,32,8,0,0,10,4,,,39,3,3,,,,,,,,
,,8,DEF 15,DEF 15,OFF 10,7,4,DEF 15,25,OFF 5,0,0,23,5,,,,,,,,,,,,,
,,-3,2,F - 16,7,QT,INT 10,QT,OFF 15,QT,0,0,10,2,,,,,,,,,,,,,
,,OFF 5,6,3,5,4,-1,17,DEF 5X,PI 12,0,0,12,-4,,,,,,,,,,,,,
,,5,5,8,-3,6,8,8,42,INT 4,0,Power rating: 221½ ± 1½,24,-9,,,,,,,,,,,,,
,,3,OFF 5,OFF 15,8,13,4,13,33,16,0,0,10,7,,,,,,,,,,,,,
,,6,B,7,6,16,11,16,QT,11,0,0,18,10,,,,,,,,,,,,,
,,5,5,B,0,5,9,14,QT,DEF 5,0,0,11,F - 11,,,,,,,,,,,,,
,,1,0,-1,OFF 5,-5,10,12,23,9,0,0,19,-6,,,,,,,,,,,,,
,,-1,-2,OFF 5,1,17,5,10,21,4,0,0,27,-7,,,,,,,,,,,,,
,,4,5,7,6,21,6,17,48,2,0,0,13,-2,,,,,,,,,,,,,
,,5,3,9,2,INT -4,9,14,PI 29,13,0,0,10,-5,,,,,,,,,,,,,
,,9,5,4,DEF 15,DEF 15,8,13,TD,14,0,0,14,9,,,,,,,,,,,,,
,,5,4,7,3,F + 18,3,14,INT 36,0,0,0,10,-12,,,,,,,,,,,,,
,,B,7,6,DEF 5,7,0,16,0,0,0,0,16,8,,,,,,,,,,,,,
,,5,6,5,5,0,0,0,0,0,0,0,11,-1,,,,,,,,,,,,,
,,2,3,-2,6,0,0,0,0,7,0,0,12,-11,,,,,,,,,,,,,
,,5,7,5,5,12,8,0,0,0,0,0,15,-9,,,,,,,,,,,,,
,,5,4,6,6,-1,12,0,OFF 10,0,0,0,23,-8,,,,,,,,,,,,,
,,5,5,0,5,8,0,0,0,0,0,0,14,-10,,,,,,,,,,,,,
,,5,8,-3,B,-1,8,OFF 10,0,-1,0,0,17,-8,,,,,,,,,,,,,
,,0,5,5,-2,OFF 10,7,INT 15,OFF 10,OFF 10,0,0,22,-13,,,,,,,,,,,,,
,,F,-3,-7,6,18,OFF 10,15,OFF 10,DEF 5X,0,0,11,-12,,,,,,,,,,,,,
