#,1,2,3,4,5,6,7,8,9
A,1,,,,(3),,,,BLACK,
A,2,,,,(1),,(0),BLACK,-15,
A,3,1,(7),(6),(3),,,-7,-11,
A,4,,,,,,BLACK,-10,-20,-10
A,5,,,,,-1,,,(24),BLACK
B,1,(1),,,-4,,,,[TD],
B,2,(1),(0),(1),-4,,,,,
B,3,,(0),,-4,,,,,
B,4,,,,,INT -5,-5,-10,-20,-10
B,5,,,,,24,(11),(16),(21),(34)
C,1,,,,,(-3),,-6,,BLACK
C,2,,,(0),,-8,,,BLACK,
C,3,(1),(0),(0),(10),,,,-11,
C,4,,,,,,5,-10,-20,-10
C,5,,,,,,,,-20,BLACK
D,1,,,,,,,BLACK,BLACK,
D,2,,,,,,(0),-7,-9,-8
D,3,(1),,(0),(10),,,,-20,
D,4,,,,,,-5,-10,-20,-10
D,5,,,,,,,,(22),BLACK
E,1,,,,,,,(6),-16,(5)
E,2,,,,,1,(8),,BLACK,
E,3,(4),(6),,(4),1,,,BLACK,
E,4,,,(3),,2,-5,-10,INT 27,-10
E,5,,,,,2,,,20,
F,1,,,(8),1,[TD],,,QT,
F,2,(4),(-1),-5,(8),,,QT,,QT
F,3,(1),,1,12,,-5,,,
F,4,,,,,-10,INT 12,INT 14,INT 29,INT 9
F,5,,,,,[TD],(10),,(10),(10)
