#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,OFF 10,-5*,5,33,DEF 15,19,DEF 15,DEF 15,15,F - 8,R
11,6,5,1,9,DEF 5,PI 16,18,TD,,10,-14,R
12,OFF 10,9,F + 2,OFF 10,10,DEF 5X,14,46,17,14,-3,R
13,5,DEF 5,DEF 5,5,3,DEF 5,DEF 5,DEF 5,22,11,-7,R
14,-2,-1,9*,4,OFF 5,4,PI 16,OFF 5,5,23,-10,R
15,DEF 5,1,8,-1,*,8,OFF 5,INT 32,23,29,-11,R
16,OFF 10,F - 1,2,5,11,INT 9,DEF 5X,35,15,13,6,R
17,7,OFF 10,OFF 10,F,35,OFF 5,14,32,8*,10,4,R
18,8,DEF 15,DEF 15,OFF 10,7*,4*,DEF 15,25,OFF 5,23,5,R
19,-3,2,F - 16,7,QT,INT 10,QT,OFF 15,QT*,10,2,R
20,OFF 5,6,3,5,4,-1,17,DEF 5X,PI 12,12,-4,R
21,5,5,8,-3,6,8,8,42,INT 4,24,-9,R
22,3,OFF 5,OFF 15,8,13,4,13,33,16,10,7,R
23,6,B,7,6,16*,11,16,QT*,11*,18,10,R
24,5,5,B*,,5*,9,14,QT,DEF 5,11,F - 11,R
25,1,,-1*,OFF 5,-5,10,12,23*,9,19,-6,R
26,-1,-2,OFF 5,1,17,5,10,21,4,27,-7,R
27,4,5,7,6,21,6,17,48,2,13,-2,R
28,5,3,9,2,INT -4,9,14,PI 29,13,10,-5,R
29,9,5,4,DEF 15,DEF 15,8,13,TD,14*,14,9,R
30,5,4,7,3,F + 18,3,14,INT 36,BLACK,10,-12,R
31,B,7,6,DEF 5,7,BLACK,16,BLACK,BLACK,16,8,L
32,5,6,5,5,BLACK,BLACK,BLACK,BLACK,BLACK,11,-1,L
33,2,3,-2*,6,BLACK,BLACK,BLACK,BLACK,7*,12,-11,L
34,5,7,5*,5,12*,8,BLACK,BLACK,BLACK,15,-9,L
35,5,4,6*,6,-1,12,BLACK,OFF 10,BLACK,23,-8,L
36,5,5,,5,8*,BLACK,BLACK,BLACK,BLACK,14,-10,L
37,5,8,-3,B,-1,8,OFF 10,BLACK,-1*,17,-8,L
38,,5,5,-2,OFF 10,7,INT 15,OFF 10,OFF 10,22,-13,L
39,F,-3,-7,6,18,OFF 10,15,OFF 10,DEF 5X,11,-12,L
