,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,-2,,,-3,-5,-2,-2,,,special team,62,24,40,15,,22,10,,1,1,1,1,,,
,,2,-2,,,-4,(2),-3,-2,-3,(20),,70,43,OFF 5,17,,BK -7,11,,-4,1,1,1,,,
,,3,-2,,,(3),(3),-2,,,(20),,OB,OFF 15,DEF 5X,5,13,3,12,,1,1,1,1,,,
,Standard,4,(-1),-1,-1,(0),,,,INT 35,QT,,51,19,47,3,F + 1,BK -7,13,,-4,1,1,1,,,
,,5,,-1,-1,(0),,,,-13,,,61,18,35*,10,36,11,14,,1,1,1,1,,,
,B,1,(2),,,-2,,,(30),,,,36,21,48,2,29,DEF 5X,15,,1,1,1,1,,,
,,2,(1),(1),,-2,,,,-8,,,52,34,46,,33,BK -6,16,,-4,1,1,1,,,
,,3,(1),(1),-3,-2,,(10),,,(30),,75,28,49,4,TD,OFF 5,17,,1,1,1,1,,,
,Short Ydg,4,,,,(-1),,,,(34),QT,,65,35,6*,,,OFF 10,18,,1,1,1,1,,,
,,5,,,15,,2,,,INT 21,,,67,17,61*,17,21,BK -6,19,,-4,1,1,1,,,
,C,1,,(2),-4,-1,-6,,(25),-17,-5,,46,36,33*,1,25,DEF 5,20,,1,1,1,1,,,
,,2,-2,,(3),-2,-4,,(25),,-4,,52,16,56,12,OFF 15,F - 7,21,,1,1,1,-4,,,
,,3,-2,,-3,-1,-2,-3,,,-8,,56,9,DEF 5,2,16,9,22,,1,1,1,1,,,
,Spread,4,-2,-1,,,,,INT 17,,QT,,OB,13,44,6,6,17,23,,1,1,1,1,,,
,,5,,-1,,,,,-8,INT 34,,,60,25,30,11,,5,24,,1,1,1,1,,,
,D,1,10,,,-1,-3,(1),,,,,64,OFF 15,43,8,1,32,25,,1,1,1,1,,,
,,2,,,,,-2,(2),,(25),,,50,F - 4,43,5,26,13,26,,1,1,1,1,,,
,,3,,-1,,-1,,,-2,,,,66,23,34*,13,8,11,27,,1,1,1,1,,,
,Short Pass,4,,,,10,QT,-1,,INT 27,-5,,45,50,31*,10,32,1,28,,1,1,-4,1,,,
,,5,4,(21),,-1,QT,QT,,INT 30,,,69,25,20*,16,,22,29,,1,1,1,1,,,
,E,1,,,,,,,,,,,60,10,45,,11,18,30,,1,1,1,1,,,
,,2,10,,,,,(25),,,,,44,26,53,12,16,19,31,,1,1,1,1,,,
,,3,,,,-1,,,-1,INT 32,,,55,22,64,7,5,25,32,,1,1,1,1,,,
,Long Pass,4,2,-1,,-1,2,,-4,INT 41,(14),,62,20,40,9,69,25,33,,1,1,1,1,,,
,,5,1,-1,,-1,,,-5,,(17),,57,31,39,4,OFF 15,2,34,,1,1,-4,1,,,
,F,1,-2,,,-2,,,QT,,-2,,58,17,41,OFF 15,,6,35,,1,1,1,1,,,
,,2,-2,-3,,10,21,(25),,QT,,,59,15,38*,F,4,4,36,,1,1,1,1,,,
,,3,-1,-1,(16),,4,,,QT,,,64,11,OFF 5,14,54,OFF 10,37,,1,1,1,1,,,
,Blitz,4,-3,-4,-1,,4,(26),,INT 33,QT,,68,45,OFF 10,DEF 15,21,36,38,,1,1,1,1,,,
,,5,(21),-5,-9,(-3),3,(21),[TD],INT 30,[TD],,48,DEF 15,41,17,TD,40,39,,1,1,1,1,,,
,"Record: 2-14-0, Finished 5th in NFC Central Division… L 11-0 vs Detroit Lions; L 17-10 at Chicago Bears;  L 19-16 vs Minnesota Vikings (OT); L 23-17 vs Cincinnati Bengals; L 55-14 at Green Bay Packers; L 27-24 at Dallas Cowboys (OT); L 34-27 vs St. Louis Cardinals; L 24-21 vs New Orleans Saints;L 17-12 at Pittsburgh Steelers; W 17-12 at Minnesota Vikings; L 20-0 at Cleveland Browns; L 27-0 vs Chicago Bears; W 33-24 vs Houston Oilers; L 35-21 at San Francisco 49ers; L 12-9 vs Green Bay Packers (OT); L 23-20 at Detroit Lions.  
",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
