#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,-2,,,-3,-5,-2,-2,,
A-2,A,2,-2,,,-4,(2),-3,-2,-3,(20)
A-3,A,3,-2,,,(3),(3),-2,,BLACK,(20)
A-4,A,4,(-1),-1,-1,(0),,,,INT 35,QT
A-5,A,5,,-1,-1,(0),,,BLACK,-13,BLACK
B-1,B,1,(2),,,-2,,,(30),,
B-2,B,2,(1),(1),,-2,,,,-8,
B-3,B,3,(1),(1),-3,-2,,(10),,,(30)
B-4,B,4,,,,(-1),,,,(34),QT
B-5,B,5,,,15,,2,,,INT 21,
C-1,C,1,,(2),-4,-1,-6,,(25),-17,-5
C-2,C,2,-2,,(3),-2,-4,,(25),,-4
C-3,C,3,-2,,-3,-1,-2,-3,,BLACK,-8
C-4,C,4,-2,-1,,,,,INT 17,,QT
C-5,C,5,,-1,,,,,-8,INT 34,BLACK
D-1,D,1,10,,,-1,-3,(1),,,
D-2,D,2,,,,,-2,(2),,(25),
D-3,D,3,,-1,,-1,,,-2,,
D-4,D,4,,,,10,QT,-1,,INT 27,-5
D-5,D,5,4,(21),,-1,QT,QT,BLACK,INT 30,BLACK
E-1,E,1,,,,,,,,BLACK,
E-2,E,2,10,,,,,(25),,BLACK,
E-3,E,3,,,,-1,,,-1,INT 32,
E-4,E,4,2,-1,,-1,2,,-4,INT 41,(14)
E-5,E,5,1,-1,,-1,,,-5,,(17)
F-1,F,1,-2,,,-2,,,QT,,-2
F-2,F,2,-2,-3,,10,21,(25),,QT,
F-3,F,3,-1,-1,(16),,4,,,QT,
F-4,F,4,-3,-4,-1,,4,(26),,INT 33,QT
F-5,F,5,(21),-5,-9,(-3),3,(21),(TD),INT 30,(TD)
