#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,-2,5,4,DEF 15,13*,9,25,27,QT,11,-6*,R
11,OFF 10,OFF 5,OFF 15,,13,8,13*,DEF 5,INT 12,18,-5,R
12,7,-2,6,,OFF 10,7,DEF 15,80,F + 15,16,-14,R
13,OFF 5,9*,B,,12,QT,DEF 5X,37,QT,15,F - 6,R
14,4,1,F + 1,DEF 5,20,6,12,22,DEF 5X,11,F - 8,R
15,4,F - 1,*,5,F + 8,14,13,42,13*,10,-3,R
16,4,5,8*,9,4,OFF 10,19,31,DEF 5,12,-7*,R
17,DEF 15,DEF 5,9,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,15,-2,R
18,1,DEF 15,OFF 5,5,DEF 15,DEF 15,OFF 15,OFF 15,DEF 15,11,-4,R
19,OFF 15,OFF 15,-5,OFF 15,OFF 15,PI 7,PI 15,DEF 15,PI 7,16,-11,R
20,2,8*,OFF 10,5,*,DEF 5,F + 10,33*,1,11,*,R
21,4,3,DEF 5,F,BLACK,13*,12,40,17*,12,,R
22,DEF 5,1,5,4,BLACK,BLACK,19,23,OFF 10,18,3,R
23,,4,5,1,-5,BLACK,14,24,12*,14,11,R
24,1,1,1,1,-7,BLACK,BLACK,20,QT,13,4,R
25,1,3,4,1,-3,BLACK,BLACK,29,3*,17,-10,R
26,B*,2,-1*,8*,-2,BLACK,BLACK,BLACK,20*,14,-11,R
27,4,7,6*,1,8,12,10,BLACK,14*,13,-7,R
28,6,4,F - 2,5*,DEF 5,F + 12,QT,QT,6,12,-13,R
29,9,OFF 10,DEF 15,4,7,OFF 15,DEF 5,PI 20,OFF 15,11,-7,R
30,4,B,7,-3,14,10,OFF 10,BLACK,BLACK,10,-9*,R
31,F + 5,6,1,1,9,DEF 5X,INT 18,OFF 10,BLACK,13,-17,R
32,5,5,3,6,BLACK,11,11,INT 31,BLACK,75,-7,R
33,4,,1,B,BLACK,5,10,BLACK,BLACK,23,-8,L
34,3,1,,1,BLACK,BLACK,BLACK,BLACK,16*,11,-7,L
35,1,2,2,3,BLACK,10,BLACK,BLACK,7,16,-7,L
36,1,5,1,2,20,8,17,BLACK,BLACK,12,-7,L
37,4,3,4,7,12,9,16,BLACK,BLACK,10,9,L
38,B,4,7,-2,10,QT,12,BLACK,BLACK,11,-1*,L
39,8,F + 4,4*,OFF 10,QT,-1,QT,QT*,QT,17,F - 7,L
