#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,62,24,40,15,,22,
11,70,43,OFF 5,17,,BK -7,NG
12,OB,OFF 15,DEF 5X,5,13,3,
13,51,19,47,3,F + 1,BK -7,NG
14,61,18,35*,10,36,11,
15,36,21,48,2,29,DEF 5X,
16,52,34,46,,33,BK -6,NG
17,75,28,49,4,TD,OFF 5,
18,65,35,6*,, ,OFF 10,NG
19,67,17,61*,17,21,BK -6,NG
20,46,36,33*,1,25,DEF 5,
21,52,16,56,12,OFF 15,F - 7,NG
22,56,9,DEF 5,2,16,9,
23,OB,13,44,6,6,17,
24,60,25,30,11,,5,
25,64,OFF 15,43,8,1,32,
26,50,F - 4,43,5,26,13,
27,66,23,34*,13,8,11,
28,45,50,31*,10,32,1,
29,69,25,20*,16,,22,
30,60,10,45,,11,18,
31,44,26,53,12,16,19,
32,55,22,64,7,5,25,
33,62,20,40,9,69,25,
34,57,31,39,4,OFF 15,2,
35,58,17,41,OFF 15,,6,
36,59,15,38*,F,4,4,
37,64,11,OFF 5,14,54,OFF 10,
38,68,45,OFF 10,DEF 15,21,36,
39,48,DEF 15,41,17,TD,40,
