,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,,,,,,,,,(1),special team,57,20,50,17,19,19,10,,1,1,1,1,,,
,,2,,,5,,(-1),,,,,,65,,55,9,16,7,11,,1,1,1,1,,,
,,3,,5,,(0),,,(8),,-7,,59,37,DEF 5,34,,11,12,,1,1,1,1,,,
,Standard,4,,,,(0),,,,,,,67,36,DEF 5X,F - 1,-1,16,13,,1,1,1,1,,,
,,5,,,,(0),,1,,INT 21,QT,,57,OFF 15,54,8,1,BK -9,14,,-4,1,1,1,,,
,B,1,(1),,,(2),,1,,,,,70,27,45,F,3,BK -3,15,,-4,1,1,1,,,
,,2,(1),(0),,(2),,5,(15),,,,61,F + 6,58*,18,4,12,16,,1,1,1,1,,,
,,3,,(0),(0),(0),,-2,-2,-2,-2,,68,28,52,2,36,5,17,,1,1,1,1,,,
,Short Ydg,4,,,,,INT 0,3,(14),(18),-2,,50,F + 11,OFF 10,15,10,17,18,,1,1,1,1,,,
,,5,,,,,,4,(36),QT,,,61,12,31,,30,37,19,,1,1,1,1,,,
,C,1,,,(-1),,,,,,(6),,59,33,20*,28,OFF 15,14,20,,1,1,1,1,,,
,,2,,,(0),,,,,,-6,,70,24,47,F,,19,21,,1,1,1,1,,,
,,3,5,(0),(-1),,,,(6),,,,57,11,OFF 5,OFF 15,10,DEF 5X,22,,1,1,1,1,,,
,Spread,4,,,,9,,,,,,,58,17,36,12,8,10,23,,1,1,1,1,,,
,,5,,,,(12),,,,,(1),,60,19,38*,2,32,13,24,,1,1,1,1,,,
,D,1,,,,,,,,,(6),,56,16,41*,3,13,17,25,,1,1,1,1,,,
,,2,,,,,,(3),(11),,,,59,19,30*,OFF 15,19,DEF 5,26,,1,1,1,1,,,
,,3,(5),3,2,10,,,,,,,OB,22,57,-4,,18,27,,1,1,1,1,,,
,Short Pass,4,,,,,,-2,INT 13,INT 32,INT 10,,63,F + 23,25*,16,OFF 15,15,28,,1,1,1,1,,,
,,5,,,,,,,,,(1),,59,F,59,,F,16,29,,1,1,1,1,,,
,E,1,,,,,,,,,(4),,51,26,33,7,`,F - 7,30,,1,1,1,-4,,,
,,2,,,,,(0),,,-20,,,53,13,39,10,26,OFF 5,31,,1,1,1,1,,,
,,3,(7),2,,16,,(7),(5),INT 29,,,58,15,44,11,40,1,32,,1,1,-4,1,,,
,Long Pass,4,,,,,,-2,-10,,-10,,62,25,40*,6,30,26,33,,1,1,1,1,,,
,,5,,,,,,,,(10),,,58,20,37*,4,,29,34,,1,1,1,1,,,
,F,1,(-1),,,-4,QT,QT,QT,QT,QT,,55,18,43*,5,,35,35,,1,1,1,1,,,
,,2,(10),-3,-7,-5,39,,,QT,-4,,64,17,42,14,10,24,36,,1,1,1,1,,,
,,3,,,,17,,17,(15),,-4,,63,21,51,19,2,DEF 5,37,,1,1,1,1,,,
,Blitz,4,,,,8,,,(22),[TD],(0),,59,OFF 15,34,1,25,22,38,,1,1,1,1,,,
,,5,,,,,,,(38),[TD],13,,69,66,49,20,17,36,39,,1,1,1,1,,,
,"Record: 8-7-1, Finished 3rd in NFC East Division... At New Orleans L 17-28; Dallas L 17-34; San Francisco L 27-42; At Philadelphia W 14-11;  Kansas City L 14-38; Washington L 14-38;  At Tampa Bay W 34-27; N.Y. Giants (OT) T 20-20; Minnesota W 41-31; At Washington L 7-45; Seattle W 33-28; San Diego W 44-14; At Dallas L 17-35; At N.Y. Giants W 10-6; At L.A. Raiders W 34-24;  Philadelphia W 31-7.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,8%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,76%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,70%,,,,,,,,11,3
