#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,,,,,,(1)
A-2,A,2,,,5,,(-1),,,,BLACK
A-3,A,3,,5,,(0),,BLACK,(8),BLACK,-7
A-4,A,4,,,,(0),,,BLACK,BLACK,
A-5,A,5,,,,(0),BLACK,1,BLACK,INT 21,QT
B-1,B,1,(1),,,(2),,1,,,
B-2,B,2,(1),(0),,(2),,5,(15),,
B-3,B,3,,(0),(0),(0),,-2,-2,-2,-2
B-4,B,4,,,,,INT 0,3,(14),(18),-2
B-5,B,5,,,,,,4,(36),QT,
C-1,C,1,,,(-1),,BLACK,BLACK,,,(6)
C-2,C,2,,,(0),,,,,,-6
C-3,C,3,5,(0),(-1),,,,(6),,BLACK
C-4,C,4,,,,9,BLACK,BLACK,BLACK,BLACK,
C-5,C,5,,,,(12),BLACK,BLACK,BLACK,BLACK,(1)
D-1,D,1,,,,,,,,,(6)
D-2,D,2,,,,,,(3),(11),,
D-3,D,3,(5),3,2,10,BLACK,BLACK,BLACK,BLACK,
D-4,D,4,,,,,,-2,INT 13,INT 32,INT 10
D-5,D,5,,,,,,,,BLACK,(1)
E-1,E,1,,,,,,,,BLACK,(4)
E-2,E,2,,,,,(0),,,-20,BLACK
E-3,E,3,(7),2,,16,,(7),(5),INT 29,
E-4,E,4,,,,,,-2,-10,,-10
E-5,E,5,,,,,,,BLACK,(10),
F-1,F,1,(-1),,,-4,QT,QT,QT,QT,QT
F-2,F,2,(10),-3,-7,-5,39,,,QT,-4
F-3,F,3,,,,17,,17,(15),,-4
F-4,F,4,,,,8,,,(22),(TD),(0)
F-5,F,5,,,,,,,(38),(TD),13
