#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,8,5,-2*,6,6,PI 7,PI 20,PI 44,PI 27,11,-4,R
11,5,5,-2,7,20,INT 3,11,29*,21,23,13*,R
12,3,5,OFF 10,4,6,10,13*,TD,QT,19,F - 5,R
13,-1,5,*,DEF 5,F + 5,7,DEF 5X,38*,11*,16,15,R
14,-1,5,DEF 5,2,8,DEF 5X,OFF 5,QT,9,14,-1,R
15,5,F + 4,-1,1,3,OFF 10,INT 10,OFF 10,7,37,-3,R
16,5,7,-8,5,2,OFF 5,11,QT,15,17,-14,R
17,-1,4,6*,5,11,,13,28,8,13,35,R
18,9,9,DEF 15,8,OFF 5,DEF 15,DEF 15,DEF 15,40,13,-2,R
19,DEF 15,DEF 15,DEF 15,DEF 15,OFF 15,OFF 15,OFF 15,OFF 15,DEF 15,14,-5,R
20,7,-1,9,5,13,5,12,QT*,24,18,-12,R
21,3,3,F - 3,5,7,F + 8,15*,QT,4,46,-6,R
22,-2,5,5,5,10*,6,OFF 10,QT,OFF 5,43,-5,R
23,5,1,B*, ,4,11,F + 11,21,OFF 10,12,-7,R
24,4,2,OFF 5,3, , ,14, ,18,10,-1,R
25,5,OFF 5,B,4,OFF 10, ,11, ,5*,11,-8,R
26,F,DEF 5, ,4,1,4,10*, ,10,39,-10,R
27,5,6,7,-2,-2,9,14*, ,17,26*,-13,R
28,6,8,2,6,F - 1,13, ,TD,-1,21,-12,L
29,OFF 10,OFF 10,5,OFF 10,DEF 15,QT,19,48,13,19,-11,L
30,2,3,4*,F + 2,40,2,17,DEF 5X,6,25,3,L
31,OFF 5,4,3*,B,DEF 5,QT,QT,26,34,15,5,L
32,3,5,5,5, , ,INT 26,F + 19, ,11,-6,L
33,B, ,6,4, , ,QT,DEF 5X, ,10,-7,L
34, ,5,5,5,8,10, , , ,10,-10,L
35,5,5,-3,B,9, , , , ,10,-9,L
36,DEF 5,4,1,-3, , , , , ,11*,F - 10,L
37,5,B,5,OFF 5,QT,QT,10,25,QT,20,10,L
38,8,B,8,-1,14,9,14,23,INT 19,12,1*,L
39,6,-2,5,9,22, ,18,24,12*,35,23,L
