#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,57,20,50,17,19,19,
11,65,,55,9,16,7,
12,59,37,DEF 5,34,,11,
13,67,36,DEF 5X,F - 1,-1,16,
14,57,OFF 15,54,8,1,BK -9,
15,70,27,45,F,3,BK -3,
16,61,F + 6,58*,18,4,12,NG
17,68,28,52,2,36,5,NG
18,50,F + 11,OFF 10,15,10,17,NG
19,61,12,31,,30,37,
20,59,33,20*,28,OFF 15,14,
21,70,24,47,F,,19,
22,57,11,OFF 5,OFF 15,10,DEF 5X,
23,58,17,36,12,8,10,
24,60,19,38*,2,32,13,
25,56,16,41*,3,13,17,
26,59,19,30*,OFF 15,19,DEF 5,
27,OB,22,57,-4,,18,
28,63,F + 23,25*,16,OFF 15,15,
29,59,F,59,,F,16,
30,51,26,33,7,`,F - 7,
31,53,13,39,10,26,OFF 5,
32,58,15,44,11,40,1,
33,62,25,40*,6,30,26,
34,58,20,37*,4,,29,
35,55,18,43*,5,,35,
36,64,17,42,14,10,24,
37,63,21,51,19,2,DEF 5,
38,59,OFF 15,34,1,25,22,
39,69,66,49,20,17,36,
