,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,1,,-1,,(9),-7,,special team,50,26,58,OFF 15,OFF 15,20,10,,1,1,1,1,,,,,,,,
,,2,,,1,(2),,,(4),-12,,,65,DEF 15,60,28,OFF 15,5,11,,1,1,1,1,,,,,,,,
,,3,(4),,1,(1),,,,,,,60,OFF 15,OFF 10,DEF 15,OFF 15,35,12,,1,1,1,1,,,,,,,,
,Standard,4,,(5),,(2),-4,,,(20),,,53,32,34,,,OFF 10,13,,1,1,1,1,,,,,,,,
,,5,,,,,,,,,[TD],,57,,36,F,,DEF 5,14,,1,1,1,1,,,,,,,,
,B,1,,,1,,-1,,7,,,,58,4,38,1,10,12,15,,1,1,1,1,,,,,,,,
,,2,(2),(2),1,(3),,,(17),,,,59,14,37,2,,F - 15,16,,1,1,1,-4,,,,,,,,
,,3,(1),(1),1,(2),,,(17),,,,61,27,57,3,,23,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,,(1),,,-6,,,[TD],,,62,6,32*,5,,27,18,,1,1,1,1,,,,,,,,
,,5,,,,,,,,[TD],,,52,F + 14,60,,40,33,19,,1,1,1,1,,,,,,,,
,C,1,,1,(3),,-1,(6),,,(1),,51,9,36,2,,8,20,,1,1,1,1,,,,,,,,
,,2,,1,(3),,,,,,(2),,54,12,50,8,F,DEF 5X,21,,1,1,1,1,,,,,,,,
,,3,(4),1,,(4),,,1,1,(1),,57,24,51,6,2,10,22,,1,1,1,1,,,,,,,,
,Spread,4,,,,11,,,,(35),,,53,18,28*,4,19,27,23,,1,1,1,1,,,,,,,,
,,5,,,,,,,[TD],,INT 13,,OB,OFF 15,DEF 5X,5,,28,24,,1,1,1,1,,,,,,,,
,D,1,,1,,,-1,(3),(3),,,,64,46,43,1,21,16,25,,1,1,1,1,,,,,,,,
,,2,,1,3,,,(2),(7),,,,50,13,48,7,,14,26,,1,1,1,1,,,,,,,,
,,3,(5),1,,(8),,,,,,,55,18,40,9,9,BK -7,27,,-4,1,1,1,,,,,,,,
,Short Pass,4,,(13),,,(0),,,(28),,,46,19,55,21,OFF 15,36,28,,1,1,1,1,,,,,,,,
,,5,,,,,,,,,10,,45,34,30*,2,12,34,29,,1,1,1,1,,,,,,,,
,E,1,,,,1,,(7),(12),,(9),,52,18,53,6,11,16,30,,1,1,1,1,,,,,,,,
,,2,,,,3,,,(11),,,,58,22,47,11,16,OFF 5,31,,1,1,1,1,,,,,,,,
,,3,,,,,,,,INT 32,,,61,21,42*,3,40,25,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,(5),,,-10,-20,,,57,20,OFF 5,-1,4,30,33,,1,1,1,1,,,,,,,,
