#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,OFF 15,OFF 15,OFF 15,OFF 15,PI 6,PI 13,PI 25,DEF 5X,17,-3,R
11,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 15,OFF 5,OFF 5,13,-1,R
12,8*,6,*,2,DEF 5,INT 3,OFF 10,F + 32,6*,21,1,R
13,7,4,3,OFF 10,-2,14,14,29,15,17,-7,R
14,3,3,-1,6,12,9*,10,24,2*,15,-8,R
15,B,9,-7,7,11*,9,16,INT 29,5,12,-7,R
16,4,-2,9*,F - 3,4,4*,14,35,28*,19,-2,R
17,9*,7,F - 4,4,-3,19,10,59,OFF 10,12,-10,R
18,6,8,F + 3,,QT,3,OFF 5,46,OFF 10,13,-12,R
19,OFF 15,-3,8*,F + 9,INT -1,OFF 15,DEF 5X,26,OFF 15,29,-4,R
20,OFF 10,DEF 5,OFF 10,DEF 5,DEF 15,OFF 10,DEF 5,OFF 10,DEF 5,15,-6,R
21,4,OFF 10,F,9,2,OFF 10,INT 15,OFF 15,8,17,8,R
22,1,-1,3*,B,9,10,15,INT 34,,11,-12,R
23,F - 1,8,-3,6,16,4,13,,13*,14,-11,R
24,,1,B*,2,13,7,,,17*,61,-13,R
25,,2,5,1,8*,,,,17,34,-10,R
26,2,7,-4,8*,,6,14,21,16*,10,F - 1,R
27,4,6,5*,-1,30,,15,27,24,19,3,R
28,-3,4,7*,F - 2,F,17,14,33,17*,16,-9,L
29,6,5*,,2,,10*,12,20,12*,21,-14,L
30,5,4,3,9,-4,9,11,25,,16,,L
31,6,3,7,5,8,8,,,15,F - 7,L
32,2,4,1,4,1,7,15,,,23,-9,L
33,5,,4,6,10,9,19,,17*,13,F - 5,L
34,-2,5,-2,,,,40,,12,-7,L
35,3,2,B,3,,,,44,,20,-8,L
36,5,3,6,5,15,8,17,,7*,25,-13,L
37,9,B,4,6,13*,5,16,,4*,18,-14,L
38,DEF 5,F + 2,DEF 5,B,7*,DEF 5,19,OFF 10,INT 9,29,1,L
39,OFF 5,DEF 15,DEF 15,OFF 15,OFF 10,DEF 15,DEF 15,PI 36,PI 31,21,-6,L
