,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,4,1,1,,,,,,,special team,68,29,OFF 10,,,36,10,,1,1,1,1,,,,,,,,
,,2,,(5),,(1),,,,,,,58,,52,13,,23,11,,1,1,1,1,,,,,,,,
,,3,,,,(1),,,(8),INT 28,-1,,61,OFF 15,59,-6,39,BK -7,12,,-4,1,1,1,,,,,,,,
,Standard,4,,,,(1),(3),,,-8,,,65,33,DEF 5X,11,,27,13,,1,1,1,1,,,,,,,,
,,5,1,,11,1,,3,3,QT,,,63,46,38,6,OFF 15,41,14,,1,1,1,1,,,,,,,,
,B,1,,,5,(1),,,,,,,62,F + 18,37,3,OFF 15,40,15,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,60,F + 18,58,,,OFF 10,16,,1,1,1,1,,,,,,,,
,,3,(1),(1),(0),,,,,(22),,,64,17,64,,,24,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,(1),(1),(1),(1),,2,(10),(10),,,66,27,32,2,,19,18,,1,1,1,1,,,,,,,,
,,5,(1),(1),(1),(1),(-1),8,INT 9,QT,(37),,70,29,49,OFF 15,12,36,19,,1,1,1,1,,,,,,,,
,C,1,1,1,,1,,,,,,,50,28,55,-1,25,DEF 5X,20,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,52,11,36,11,OFF 15,35,21,,1,1,1,1,,,,,,,,
,,3,,,(1),,,,,INT 31,,,OB,21,OFF 5,F,27,40,22,,1,1,1,1,,,,,,,,
,Spread,4,,,(1),,(0),,,,,,56,9,42,16,14,22,23,,1,1,1,1,,,,,,,,
,,5,(1),,(1),,-11,-5,,,INT 13,,58,20,46,19,34,30,24,,1,1,1,1,,,,,,,,
,D,1,4,4,4,4,,-3,,,,,58,32,23*,18,32,28,25,,1,1,1,1,,,,,,,,
,,2,,,,(6),,-3,,,,,49,13,39*,13,3,41,26,,1,1,1,1,,,,,,,,
,,3,,,,,,,,INT 37,,,51,31,60,OFF 15,,36,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,(11),(0),,,(29),,,49,23,DEF 5,,,OFF 5,28,,1,1,1,1,,,,,,,,
,,5,(1),,12,,-3,1,(31),(31),INT 16,,50,22,61,-1,,13,29,,1,1,1,1,,,,,,,,
,E,1,4,4,4,4,,5,,,,,52,12,34,12,37,35,30,,1,1,1,1,,,,,,,,
,,2,,,,1,,,(11),,,,56,19,40,OFF 15,,16,31,,1,1,1,1,,,,,,,,
,,3,,,1,,,,(12),INT 40,,,57,18,43,1,,26,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,1,2,(13),(4),6,,INT 32,(7),,58,22,35*,8,42,31,33,,1,1,1,1,,,,,,,,
,,5,,2,2,2,(7),11,-1,,(6),,59,15,31*,10,58,34,34,,1,1,1,1,,,,,,,,
,F,1,,,-8,-4,,,,QT,,,64,14,33*,,,33,35,,1,1,1,1,,,,,,,,
,,2,,,,,,,-6,6,-2,,56,17,44,5,41,25,36,,1,1,1,1,,,,,,,,
,,3,(1),(1),,,(20),-2,QT,,QT,,55,3,41,OFF 15,,DEF 5,37,,1,1,1,1,,,,,,,,
,Blitz,4,(11),(7),12,,[TD],10,,QT,,,54,OFF 15,30,9,,37,38,,1,1,1,1,,,,,,,,
,,5,6,3,10,10,[TD],[TD],QT,[TD],(14),,53,OFF 15,56,,F,20,39,,1,1,1,1,,,,,,,,
,"Record: 6-10-0, Finished 4th in AFC West Division...Sep 4 W 17-13 vs Seattle Seahawks; L 17-14 vs San Diego Chargers; L 27-12 at Washington Redskins;  
L 14-6 at Miami Dolphins; W 38-14 vs St. Louis Cardinals; L 21-20 at Los Angeles Raiders; W 38-17 vs New York Giants; W 13-10 at Houston Oilers (OT); L 27-24 at Denver Broncos; L 28-20 vs Los Angeles Raiders; W 20-15 vs Cincinnati Bengals; L 41-21 at Dallas Cowboys;  L 51-48 at Seattle Seahawks (OT); L 14-9 vs Buffalo Bills; L 41-38 at San Diego Chargers; W 48-17 vs Denver Broncos. 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,2%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,88%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,88%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,88%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,88%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,82%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,74%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,55%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,25%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,13%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
