1983 Kansas City                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,2,4, -5*,7,QT,5,PI 14,DEF 15,OFF 5,,,11,-8,10,,,,,,,,,,,,
,11,7,4,4,F,29,7,QT*,29*, -5*,,,12,-1,11,,,,,,,,,,,,
,12,OFF 5,F,1,OFF 10,OFF 10, -1*,QT,52,PI 16,,Yardage factors: 100% / 80%,18,8,12,,,,,,,,,,,,
,13,1,5,F,4,,F + 2,F + 10,20, -1*,,,11,9,13,,,,,,,,,,,,
,14,DEF 5,8,2,1,13,DEF 5X,16*,23, -4*,,,15,11,14,,,,,,,,,,,,
,15,4,-1,1,2,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,,,11,3,15,,,,,,,,,,,,
,16,6,1,OFF 10,F,2,17,QT,40,OFF 10,,,11,-2,16,,,,,,,,,,,,
,17,9,-5,,4,8,6,INT 7,26*,F + 6,,,10,-7,17,,,,,,,,,,,,
,18,DEF 15,DEF 15,DEF 15,DEF 15,OFF 5,PI 10,DEF 15,OFF 5,14*,,,14,-8,18,,,,,,,,,,,,
,19,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,,,12,F - 6,19,,,,,,,,,,,,
,20,1,OFF 10,9*,OFF 5,25,10,OFF 10,PI 31,12,,,14,F - 9,20,,,,,,,,,,,,
,21,1,2,1,DEF 5,11,5,DEF 5X,INT 32,13,,Power rating: 216½ ± 2,10,6,21,,,,,,,,,,,,
,22,-1,DEF 5,B*,2,8,3,,,,,,11,1*,22,,,,,,,,,,,,
,23,3,3,DEF 5,2,4,,,OFF 10,,,,13,-13,23,,,,,,,,,,,,
,24,1,6,-3,1,,,,,,,,28,-6,24,,,,,,,,,,,,
,25,3,1,1,1,,9,10,,,,,49,-6,25,,,,,,,,,,,,
,26,-2,1,1,3,F - 7,3,,,,,,16,-11,26,Fumble Recovered 10-25; Lost Ball 26-39,,,,,,,,,,,
