Set-Label,Row,1,2,3,4,5,6,7,8,9
A-Standard,1,4,1,1,,,,,,
A-Standard,2,,5,,1,,,,,
A-Standard,3,,,,1,,,8,INT 28,-1
A-Standard,4,,,,1,3,,,-8,
A-Standard,5,1,,11,1,,3,3,QT,
B-Short Ydg,1,,,5,1,,,,,
B-Short Ydg,2,,,,,,,,,
B-Short Ydg,3,1,1,0,,,,,22,
B-Short Ydg,4,1,1,1,1,,2,10,10,
B-Short Ydg,5,1,1,1,1,(-1),8,INT 9,QT,37
C-Spread,1,1,1,,1,,,,,
C-Spread,2,,,,,,,,,
C-Spread,3,,,1,,,,,INT 31,
C-Spread,4,,,1,,0,,,,
C-Spread,5,1,,1,,-11,-5,,,INT 13
D-Short Pass,1,4,4,4,4,,-3,,,
D-Short Pass,2,,,,6,,-3,,,
D-Short Pass,3,,,,,,,,INT 37,
D-Short Pass,4,,,,11,0,,,29,
D-Short Pass,5,1,,12,,-3,1,31,31,INT 16
E-Long Pass,1,4,4,4,4,,5,,,
E-Long Pass,2,,,,1,,,11,,
E-Long Pass,3,,,1,,,,12,INT 40,
E-Long Pass,4,,1,2,13,4,6,,INT 32,7
E-Long Pass,5,,2,2,2,7,11,-1,,6
F-Blitz,1,,,-8,-4,,,,QT,
F-Blitz,2,,,,,,,-6,6,-2
F-Blitz,3,1,1,,,20,-2,QT,,QT
F-Blitz,4,11,7,12,,[TD],10,,QT,
F-Blitz,5,6,3,10,10,[TD],[TD],QT,[TD],14
