#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,2,4,-5*,7,QT,5,PI 14,DEF 15,OFF 5,11,-8,R
11,7,4,4,F,29,7,QT*,29*,-5*,12,-1,R
12,OFF 5,F,1,OFF 10,OFF 10,-1*,QT,52,PI 16,18,8,R
13,1,5,F,4,BLACK,F + 2,F + 10,20,-1*,11,9,R
14,DEF 5,8,2,1,13,DEF 5X,16*,23,-4*,15,11,R
15,4,-1,1,2,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,11,3,R
16,6,1,OFF 10,F,2,17,QT,40,OFF 10,11,-2,R
17,9,-5,,4,8,6,INT 7,26*,F + 6,10,-7,R
18,DEF 15,DEF 15,DEF 15,DEF 15,OFF 5,PI 10,DEF 15,OFF 5,14*,14,-8,R
19,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,12,F - 6,R
20,1,OFF 10,9*,OFF 5,25,10,OFF 10,PI 31,12,14,F - 9,R
21,1,2,1,DEF 5,11,5,DEF 5X,INT 32,13,10,6,R
22,-1,DEF 5,B*,2,8,3,BLACK,BLACK,BLACK,11,1*,R
23,3,3,DEF 5,2,4,BLACK,BLACK,OFF 10,BLACK,13,-13,R
24,1,6,-3,1,BLACK,BLACK,BLACK,BLACK,BLACK,28,-6,R
25,3,1,1,1,,9,10,BLACK,BLACK,49,-6,R
26,-2,1,1,3,F - 7,3,BLACK,BLACK,BLACK,16,-11,L
27,F,1,8,3,15,14,17,BLACK,DEF 5X,15,-3,L
28,OFF 10,1,OFF 5,-4,1,OFF 10,19*,BLACK,1,17,-13,L
29,5,1,-5,8*,DEF 15,OFF 5,PI 18,49*,DEF 15,11,-7,L
30,1,-2,2,9,14,4,18,BLACK,21*,10,-8,L
31,,7,6,-2,12,1,14,BLACK,16,11,-10,L
32,,1,5,5,3,5,11,BLACK,9,24,-9,L
33,1,3,B,1,7,2,15,24*,10,18,-5,L
34,B,,1*,B,6,8,7,50,6*,11,-8,L
35,1,B,3,,5,6,9*,QT,8*,10,-7,L
36,3,4,7,1,9,7,12,BLACK,7*,21,-4,L
37,2,1,-1,6,10,11,13*,33,5*,19,-5,L
38,4,9,-2*,3,18,13,OFF 5,DEF 5X,19,15,-12,L
39,8,OFF 5,-5,-1,53,4,QT,BLACK,4*,11,-14,L
