#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,68,29,OFF 10,,,36,
11,58,,52,13,,23,
12,61,OFF 15,59,-6,39,BK -7,NG
13,65,33,DEF 5X,11,,27,
14,63,46,38,6,OFF 15,41,
15,62,F + 18,37,3,OFF 15,40,
16,60,F + 18,58,,,OFF 10,
17,64,17,64,,,24,
18,66,27,32,2,,19,
19,70,29,49,OFF 15,12,36,
20,50,28,55,-1,25,DEF 5X,
21,52,11,36,11,OFF 15,35,
22,OB,21,OFF 5,F,27,40,
23,56,9,42,16,14,22,
24,58,20,46,19,34,30,
25,58,32,23*,18,32,28,
26,49,13,39*,13,3,41,
27,51,31,60,OFF 15,,36,
28,49,23,DEF 5,,,OFF 5,
29,50,22,61,-1,,13,
30,52,12,34,12,37,35,
31,56,19,40,OFF 15,,16,
32,57,18,43,1,,26,
33,58,22,35*,8,42,31,
34,59,15,31*,10,58,34,
35,64,14,33*,,,33,
36,56,17,44,5,41,25,
37,55,3,41,OFF 15,,DEF 5,
38,54,OFF 15,30,9,,37,
39,53,OFF 15,56,,F,20,
