,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,
,A,1,,,,,(0),,-1,-11,(24),special team,73,28,68,,23,24,10,,1,1,1,1,,,,,,
,,2,2,2,,(2),(1),,-1,-5,,,72,40,48,3,OFF 15,BK -9,11,,-4,1,1,1,,,,,,
,,3,,10,,(1),(1),,-1,-14,,,70,11,47,50,,20,12,,1,1,1,1,,,,,,
,Standard,4,1,,(7),,,,,-2,,,72,F - 4,20*,15,41,8,13,,1,1,1,1,,,,,,
,,5,,,(9),,,-3,,,,,66,15,34,F + 5,11,25,14,,1,1,1,1,,,,,,
,B,1,(1),(2),,,,,(11),,19,,68,18,45,OFF 15,18,24,15,,1,1,1,1,,,,,,
,,2,(1),(2),,(0),(1),,,(33),,,70,21,31,11,8,21,16,,1,1,1,1,,,,,,
,,3,(1),(1),,(-1),,,,,(15),,70,7,62,,,OFF 5,17,,1,1,1,1,,,,,,
,Short Ydg,4,,,(1),,,,[TD],,,,72,4,OFF 10,,15,18,18,,1,1,1,1,,,,,,
,,5,,,(7),,,-3,,,[TD],,75,19,56*,4,19,OFF 15,19,,1,1,1,1,,,,,,
,C,1,,,(3),,-4,-2,(37),,-7,,71,17,48,2,,DEF 5X,20,,1,1,1,1,,,,,,
,,2,,,(1),,-2,-4,,,-8,,60,14,33,13,5,26,21,,1,1,1,1,,,,,,
,,3,(2),,(1),,(0),-2,,,-7,,58,26,DEF 5,4,14,30,22,,1,1,1,1,,,,,,
,Spread,4,,,,,,-5,,[TD],,,OB,12,41,5,31,OFF 10,23,,1,1,1,1,,,,,,
,,5,,(3),,,,-5,,[TD],,,60,OFF 15,42,6,71,33,24,,1,1,1,1,,,,,,
,D,1,3,2,,1,,(10),-5,-15,(10),,53,24,45*,1,52,34,25,,1,1,1,1,,,,,,
,,2,1,1,,(8),,(10),-8,-15,(10),,60,22,38,13,17,31,26,,1,1,1,1,,,,,,
,,3,1,1,(11),1,,(10),-8,INT 41,(10),,62,21,46,20,8,27,27,,1,1,1,1,,,,,,
,Short Pass,4,(7),(4),8,,,,,,,,70,90,39*,19,,22,28,,1,1,1,1,,,,,,
,,5,,(3),12,,,,,-2,,,74,27,OFF 15,,,17,29,,1,1,1,1,,,,,,
,E,1,3,3,,2,,,,,,,70,22,41*,6,,28,30,,1,1,1,1,,,,,,
,,2,1,1,,2,21,,,,,,56,16,40,1,19,32,31,,1,1,1,1,,,,,,
,,3,1,(5),,5,20,,,INT 34,,,52,13,43,4,18,35,32,,1,1,1,1,,,,,,
,Long Pass,4,1,,21,,,(26),,INT 40,,,51,23,54,7,OFF 15,37,33,,1,1,1,1,,,,,,
,,5,,,12,,,(20),,INT 31,,,51,20,60,2,5,46,34,,1,1,1,1,,,,,,
,F,1,-3,-1,-3,-6,21,,QT,QT,QT,,50,19,OFF 5,OFF 15,41,38,35,,1,1,1,1,,,,,,
,,2,,-2,-4,,20,,,QT,,,54,25,46*,1,11,36,36,,1,1,1,1,,,,,,
,,3,,-2,,17,,[TD],-2,,-2,,60,29,53,8,25,DEF 5,37,,1,1,1,1,,,,,,
,Blitz,4,,-4,10,,,[TD],-2,-2,-2,,64,OFF 15,44,9,10,29,38,,1,1,1,1,,,,,,
,,5,,,(4),,,[TD],-3,QT,-4,,OB,50,DEF 5X,,-3,BK -9,39,,-4,1,1,1,,,,,,
,"Record: 7-9-0, Finished 4th in AFC East Division… W 29-23 at New England Patriots (OT); L 17-10 vs Denver Broncos; L 28-23 at Buffalo Bills; W 22-19 vs Chicago Bears (OT); W 34-31 at Cincinnati Bengals; W 12-7 vs New England Patriots; L 30-7 vs Buffalo Bills; L 21-7 vs Miami Dolphins; W 22-21 at Philadelphia Eagles; W 17-14 at New York Jets;  L 24-13 vs Pittsburgh Steelers; L 37-0 at Miami Dolphins; L 41-23 at Cleveland Browns; L 10-6 vs New York Jets; L 21-19 at Denver Broncos;  W 20-10 vs Houston Oilers.  

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,3%,,,,,,,,,216,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,85%,,,,,,,,10,2,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,85%,,,,,,,,11,3,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,82%,,,,,,,,12,4,,,
,,,,,,,,,,,,,"15+3,4",,,,,82%,,,,,,,,13,5,,,
,,,,,,,,,,,,,"20+3,4",,,,,81%,,,,,,,,14,6,,,
,,,,,,,,,,,,,"25+3,4",,,,,71%,,,,,,,,15,6,,,
,,,,,,,,,,,,,30+4,,,,,57%,,,,,,,,16,4,,,
,,,,,,,,,,,,,35+4,,,,,35%,,,,,,,,17,3,,,
,,,,,,,,,,,,,40+4,,,,,8%,,,,,,,,18,2,,,
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1,,,
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4,,,
