1983 Baltimore                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,OFF 10,7,,DEF 15,OFF 5,9,INT 13,48,28,,,20,27,10,,,,,,,,,,,,
,11,1,OFF 15,DEF 5,5,OFF 10,2,QT,41,20*,,,13,-3,11,,,,,,,,,,,,
,12,4,DEF 15,DEF 5X,OFF 10,OFF 10,8,OFF 5,52,DEF 5X,,Yardage factors: 100% / 80%,13,-4,12,,,,,,,,,,,,
,13,3,F + 4,5*,OFF 5,18,OFF 10,OFF 10,OFF 10,OFF 10,,,27,10,13,,,,,,,,,,,,
,14,DEF 5,OFF 5,-3,2,-1,DEF 5X,INT 15,60,6*,,,11,18,14,,,,,,,,,,,,
,15,OFF 5,6,-5,9*,7,INT 10,22,DEF 5,16,,,22,22,15,,,,,,,,,,,,
,16,5,OFF 10,OFF 5,DEF 5,15,7,DEF 5X,OFF 5,OFF 5,,,16,-5,16,,,,,,,,,,,,
,17,3,8,OFF 15,5,9,DEF 5,11,DEF 5X,7,,,10,-13,17,,,,,,,,,,,,
,18,4,DEF 5X,OFF 10,3,13,OFF 5,INT 17,TD,24,,,19,-8,18,,,,,,,,,,,,
,19,OFF 15,-1,F + 13,OFF 15,72,TD,QT,PI 32,68,,,11,-6,19,,,,,,,,,,,,
,20,F - 1,-2,9*,4,16,4,16,20,INT 7,,,18,-12,20,,,,,,,,,,,,
,21,5,6,8,7,-8,1,10,INT 24,25,,Power rating: 219½ ± ½,39,-6,21,,,,,,,,,,,,
,22,B,1,F,8,DEF 5,OFF 10,15,25,3*,,,29,16,22,,,,,,,,,,,,
,23,5,7,7,F,3,8,19,OFF 10,10,,,12,11,23,,,,,,,,,,,,
,24,6,,2,B,QT,QT,QT,QT,QT,,,17,-9,24,,,,,,,,,,,,
,25,3,2,5*,,11*,QT,QT,QT*,QT,,,33,-8,25,,,,,,,,,,,,
,26,9,6,-2,2,4,9,12,QT,OFF 10,,,19,F - 10,26,Fumble Recovered 10-32; Lost Ball 33-39,,,,,,,,,,,
,27,-1,5,5,1,-7,8,19,QT,5,,,56,-8,27,,,,,,,,,,,,
,28,F - 2,F - 3,-1,-1,8,4,17,INT 26,PI 11,,,20,-11,28,,,,,,,,,,,,
,29,DEF 15,8,5*,3,TD,9,PI 19,QT,13,,,12,-14,29,,,,,,,,,,,,
,30,1,B,1,4,-1,6,13,,21,,,10,-10,30,,,,,,,,,,,,
,31,8,2,9,2,,7,OFF 10,,9*,,,11,8,31,,,,,,,,,,,,
,32,,3,B*,-2,5*,9,21,,QT,,,23,-7,32,,,,,,,,,,,,
,33,7,6,6,4,6*,5,18,,,,,12,9,33,,,,,,,,,,,,
,34,6,B,*,B,,,,,,,,24,-2,34,,,,,,,,,,,,
,35,3,-1,3,6,,,,,,,,14,5,35,,,,,,,,,,,,
,36,5,5,4,3,,2,,21*,,,,26,4,36,,,,,,,,,,,,
,37,B,4,B*,-3,OFF 10,9,QT,28,,,,10,1,37,,,,,,,,,,,,
,38,6,9,-1,1,F + 6,3,DEF 5,37,,,,15,2,38,,,,,,,,,,,,
,39,-3,DEF 15,9,2,OFF 15,PI 7,14,32,DEF 5,,,11,33,39,,,,,,,,,,,,
,"With the number one pick in the NFL Draft the Colts selected Quarterback John Elway from Stanford. However, Elway refused to go to Baltimore and threatened to play minor league baseball or in the newly formed USFL. Fearful the Colts would get nothing for his rights the Colts trade John Elway to the Denver Broncos, before he ever put on the horseshoed helmet. After starting the season with an overtime win in New England  the Colts faced the Broncos in the home opener.  Baltimore fans were hostile to Elway. However, fans get to see what they missed when Elway leads a game winning drive in the 4th Quarter.   The Baltimore Colts finished the National Football League's 1983 season with a record of 7 wins and 9 losses, and finished tied for fourth in the AFC East division with the New York Jets. However, the Colts finished ahead of New York based on better conference record (5–9 to Jets' 4–8). This was season for the Colts in Baltimore. ",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,10%,16%,23%,17%,38%,17%,22%,36%,36%,,,0%,46%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,38,10,2,216,33-39,,,,,,,
"1 +1, 2",,71%,58%,56%,57%,40%,56%,42%,26%,32%,,,100%,50%,,,11,3,214,33,,,,,,,
"4 +1, 2",,49%,39%,39%,32%,35%,44%,42%,26%,29%,,,100%,44%,,,12,4,211,33,81,,,,,,
8 +2,,8%,5%,10%,6%,16%,25%,42%,26%,22%,,,100%,30%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,7%,0%,38%,26%,13%,,,83%,12%,,,14,6,202,,,,,,,,
B / T3,,8%,11%,10%,14%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,1%,0%,0%,1%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,4%,4%,4%,5%,3%,0%,0%,0%,0%,,,0%,4%,,,18,2,183,,,,,,,,
OFF Pen,,4%,6%,4%,5%,10%,7%,8%,9%,8%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,4%,4%,3%,3%,4%,6%,6%,5%,5%,,,,,,,20,4,180,,,,,,,,
