#,1,2,3,4,5,6,7,8,9
A,1,,,,,(0),,-1,-11,(24)
A,2,2,2,,(2),(1),,-1,-5,
A,3,,10,,(1),(1),,-1,-14,
A,4,1,,(7),,,,,-2,
A,5,,,(9),,,-3,,BLACK,
B,1,(1),(2),,,,,(11),,19
B,2,(1),(2),,(0),(1),,,(33),
B,3,(1),(1),,(-1),,,,,(15)
B,4,,,(1),,,,[TD],,
B,5,,,(7),,,-3,,,[TD]
C,1,,,(3),,-4,-2,(37),,-7
C,2,,,(1),,-2,-4,,,-8
C,3,(2),,(1),,(0),-2,,,-7
C,4,,,,,,-5,,[TD],
C,5,,(3),,,,-5,,[TD],
D,1,3,2,,1,,(10),-5,-15,(10)
D,2,1,1,,(8),,(10),-8,-15,(10)
D,3,1,1,(11),1,,(10),-8,INT 41,(10)
D,4,(7),(4),8,,,,,BLACK,
D,5,,(3),12,,,,BLACK,-2,
E,1,3,3,,2,,,BLACK,BLACK,BLACK
E,2,1,1,,2,21,,,BLACK,
E,3,1,(5),,5,20,,,INT 34,
E,4,1,,21,,,(26),,INT 40,
E,5,,,12,,,(20),,INT 31,
F,1,-3,-1,-3,-6,21,,QT,QT,QT
F,2,,-2,-4,,20,,,QT,
F,3,,-2,,17,,[TD],-2,,-2
F,4,,-4,10,,,[TD],-2,-2,-2
F,5,,,(4),,,[TD],-3,QT,-4
