#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,73,28,68,,23,24,
11,72,40,48,3,OFF 15,BK -9,NG
12,70,11,47,50,,20,
13,72,F - 4,20*,15,41,8,
14,66,15,34,F + 5,11,25,
15,68,18,45,OFF 15,18,24,
16,70,21,31,11,8,21,
17,70,7,62,,,OFF 5,
18,72,4,OFF 10,,15,18,
19,75,19,56*,4,19,OFF 15,
20,71,17,48,2,,DEF 5X,
21,60,14,33,13,5,26,
22,58,26,DEF 5,4,14,30,
23,OB,12,41,5,31,OFF 10,
24,60,OFF 15,42,6,71,33,
25,53,24,45*,1,52,34,
26,60,22,38,13,17,31,
27,62,21,46,20,8,27,
28,70,90,39*,19,,22,
29,74,27,OFF 15,,,17,
30,70,22,41*,6,,28,
31,56,16,40,1,19,32,
32,52,13,43,4,18,35,
33,51,23,54,7,OFF 15,37,
34,51,20,60,2,5,46,
35,50,19,OFF 5,OFF 15,41,38,
36,54,25,46*,1,11,36,
37,60,29,53,8,25,DEF 5,
38,64,OFF 15,44,9,10,29,
39,OB,50,DEF 5X,-3,BK -9,NG
