,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,(4),,(0),-4,,,,,special team,DEF 5,50,53*,37,OFF 15,31,10,,1,1,1,1,,,,,,,,
,,2,(4),,(2),,(-2),,,,(15),,52,25,50,10,15,11,11,,1,1,1,1,,,,,,,,
,,3,(3),,,(1),,,,,,,67,31,27*,12,OFF 15,DEF 5X,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,,,,,INT 31,,,54,19,30*,21,28,29,13,,1,1,1,1,,,,,,,,
,,5,,,,,,,,(24),,,62,OFF 15,OFF 5,,5,24,14,,1,1,1,1,,,,,,,,
,B,1,(0),(0),,(0),-6,,(18),,,,65,OFF 15,DEF 5,,13,17,15,,1,1,1,1,,,,,,,,
,,2,-4,,,-4,(5),,(17),,,,67,40,DEF 5X,9,6,10,16,,1,1,1,1,,,,,,,,
,,3,-4,,(1),-4,,,(13),,(15),,55,50,OFF 10,-2,,6,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,(1),,,,,(15),,,,,59,25,45*,,,33,18,,1,1,1,1,,,,,,,,
,,5,(1),-1,,,,,[TD],[TD],,,54,15,46,1,TD,33,19,,1,1,1,1,,,,,,,,
,C,1,(6),(1),(0),,(-1),,,,,,61,18,28*,12,34,28,20,,1,1,1,1,,,,,,,,
,,2,(4),,(0),,,(0),,,,,59,9,54,2,F + 29,DEF 5,21,,1,1,1,1,,,,,,,,
,,3,,,(0),,,(0),(11),,,,63,DEF 15,24*,F,37,19,22,,1,1,1,1,,,,,,,,
,Spread,4,,,,,,INT 6,,,,,50,8,51,14,12,28,23,,1,1,1,1,,,,,,,,
,,5,,,,6,,,(26),(43),,,OB,11,41,OFF 15,68,25,24,,1,1,1,1,,,,,,,,
,D,1,,3,(1),,(-1),,,,,,53,26,40,8,62,23,25,,1,1,1,1,,,,,,,,
,,2,(5),(3),,,,(0),(10),,(10),,51,17,42,DEF 15,2,22,26,,1,1,1,1,,,,,,,,
,,3,,(3),,,,(0),,,(10),,67,12,44,12,9,34,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,,,INT 7,,,,,68,53,29*,68,1,OFF 10,28,,1,1,1,1,,,,,,,,
,,5,,,,9,,,(22),(25),,,55,31,39*,19,58,30,29,,1,1,1,1,,,,,,,,
,E,1,(5),(4),(2),,(-1),,,,(9),,56,20,32*,15,27,18,30,,1,1,1,1,,,,,,,,
,,2,,2,,(8),,,,,,,50,24,41,6,14,21,31,,1,1,1,1,,,,,,,,
,,3,,,,,,(11),,,,,57,27,39,,23,26,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,,,INT 32,,,64,F + 13,43,8,,35,33,,1,1,1,1,,,,,,,,
,,5,,,6,15,,,,,,,60,23,40,11,21,20,34,,1,1,1,1,,,,,,,,
,F,1,-3,-3,1,-5,(21),,QT,QT,QT,,64,13,38,6,,22,35,,1,1,1,1,,,,,,,,
,,2,,,-5,,-6,QT,,QT,(38),,58,32,46,,16,27,36,,1,1,1,1,,,,,,,,
,,3,,,-12,(7),[TD],,,-20,(15),,55,6,34*,1,33,33,37,,1,1,1,1,,,,,,,,
,Blitz,4,,,(10),,QT,,INT 11,,,,69,3,31*,OFF 15,DEF 15,OFF 5,38,,1,1,1,1,,,,,,,,
,,5,,,,3,QT,,[TD],INT 44,INT 17,,54,1,BK -10,35,,32,39,,1,1,1,1,,,,,,,,
,"Record: 12-4-0, Finished 2nd in NFC East Division… W 31-30 at Washington Redskins; W 34-17 at St. Louis Cardinals; W 28-13 vs New York Giants; W 21-20 vs New Orleans Saints; W 37-24 at Minnesota Vikings;   W 27-24 vs Tampa Bay Buccaneers (OT); W 37-7 vs Philadelphia Eagles; L 40-38 vs Los Angeles Raiders; W 38-20 at New York Giants; W 27-20 at Philadelphia Eagles; L 24-23 at San Diego Chargers; W 41-21 vs Kansas City Chiefs; W 35-17 vs St. Louis Cardinals; W 35-10 at Seattle Seahawks; L 31-10 vs Washington Redskins; Dec 29 L 42-17 at San Francisco 49ers. Post Season:Wild Card...Playoffs  Dec 26 L 24-17 vs Los Angeles Rams.  
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,0%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,91%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,91%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,89%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,86%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,77%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,44%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,19%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,7%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,5%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,1%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,2%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,1%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,12%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,24,,,,,,,,,,,,,
