1983 Miami                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,DEF 15,DEF 15,OFF 10,-3,DEF 15,OFF 10,12*,QT,12*,,,16,5,10,,,,,,,,,,,,
,11,,-2,-11,-4,F + 4,OFF 5,DEF 15,44,DEF 15,,,24,1,11,,,,,,,,,,,,
,12,OFF 10,OFF 5,9*,DEF 15,OFF 5,QT,QT,33,16*,,Yardage factors: 100% / 80%,25,,12,,,,,,,,,,,,
,13,5,OFF 10,B,,9*,DEF 5,OFF 5,31,11*,,,17,-12,13,,,,,,,,,,,,
,14,4,-3,-2,5,7,7,15,DEF 15,12*,,,19,-11,14,,,,,,,,,,,,
,15,-1,9*,8*,B,-4,2,19,38,2*,,,13,-3,15,,,,,,,,,,,,
,16,F,7,5*,OFF 5,11,2,11,OFF 5,3*,,,14,-1,16,,,,,,,,,,,,
,17,,8*,-4,9,15*,DEF 15,DEF 5,DEF 5,1*,,,27,-4,17,,,,,,,,,,,,
,18,B,-4,DEF 15,8*,DEF 5,PI 8,OFF 10,OFF 10,OFF 5,,,10,F - 7,18,,,,,,,,,,,,
,19,OFF 5,OFF 15,OFF 15,OFF 10,OFF 10,INT 0,PI 14,PI 45,OFF 10,,,44,-6,19,,,,,,,,,,,,
,20,8,1,B,F + 4,10,9,,INT 31,11*,,,12,-5,20,,,,,,,,,,,,
,21,6,2,3,,4,5,,,16*,,Power rating: 226 ± 1½,24,-14,21,,,,,,,,,,,,
,22,-2,,DEF 5,7,,8,,,DEF 5,,,17,-9,22,,,,,,,,,,,,
,23,2,B,2,DEF 5,9,,,,,,,18,-15,23,,,,,,,,,,,,
,24,9,5,8,6,,,15,,,,,13,F - 8,24,,,,,,,,,,,,
,25,5,4,9,2,,DEF 5X,14,TD,,,,12,2,25,,,,,,,,,,,,
,26,,5,,4,,6,19,20,14*,,,15,3,26,Fumble Recovered 10-25; Lost Ball 26-39,,,,,,,,,,,
,27,B,4,4,-2,14,,13,26,QT,,,19,9,27,,,,,,,,,,,,
,28,5,3,7,5,F + 2,,12,21*,F + 7,,,25,-9,28,,,,,,,,,,,,
,29,B,F,OFF 5,2,44*,5,20,66,12*,,,16,3,29,,,,,,,,,,,,
,30,DEF 5,5,6*,1,-6,,12,25,4*,,,44,4,30,,,,,,,,,,,,
,31,1,4,1,3,,6,,,15,,,15,15,31,,,,,,,,,,,,
,32,5,6,4,1,6,9,,,,,,18,-7,32,,,,,,,,,,,,
,33,4,5,3,5,2,3,,,,,,11,-13,33,,,,,,,,,,,,
,34,4,5,5,2,7,9,17,,,,,14,-10,34,,,,,,,,,,,,
,35,6,4,5,8,5,7,14,,,,,12,-2,35,,,,,,,,,,,,
,36,5,5,4,3,-1,5,,,6,,,10,8,36,,,,,,,,,,,,
,37,5,-1,4,B,,2,,QT,14,,,40,-9,37,,,,,,,,,,,,
,38,3,DEF 5,F - 1,-3,19,4,,23,17,,,16,7,38,,,,,,,,,,,,
,39,7,,B*,-1,8,F + 1,INT 15,QT*,PI 22,,,27,13,39,,,,,,,,,,,,
,"David Woodley started the team's first five games but despite wins over Buffalo, New England, and Kansas City the offense didn't move to Don Shula's liking so in Week Six hosting the Bills the rookie Marino started. Marino had completed two touchdown throws in relief of Woodley in a 27–14 loss to the Raiders and then replaced Woodley during a 17–7 loss to the Saints with a touchdown and an interception, so the game against Buffalo was the third of his career but his first start. Marino finished with 2,210 passing yards, 20 touchdowns, and six interceptions. With the division wrapped up following a 26–17 win over the Oilers at the Astrodome Marino sat for the final two games of the season as Don Strock quarterbacked the Dolphins to wins over the Falcons and Jets.
",,,,,,,,,,,,,,,,,,,,,,,,,,
PRESS <ctrl>z TO FINALIZE QUANTITATIVE ANALYSIS BELOW:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,13%,14%,9%,14%,38%,18%,42%,56%,45%,,,0%,62%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,59,10,2,216,26-39,,,,,,,
"1 +1, 2",,75%,68%,66%,67%,50%,66%,47%,21%,17%,,,100%,32%,,,11,3,214,26,,,,,,,
"4 +1, 2",,63%,61%,48%,34%,43%,50%,47%,21%,17%,,,100%,20%,,,12,4,211,26,128,,,,,,
8 +2,,7%,0%,11%,10%,15%,19%,47%,21%,11%,,,100%,14%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,6%,0%,45%,21%,11%,,,87%,6%,,,14,6,202,,,,,,,,
B / T3,,5%,5%,4%,7%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,6%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,2%,1%,3%,2%,3%,1%,0%,0%,2%,,,0%,6%,,,18,2,183,,,,,,,,
OFF Pen,,2%,5%,2%,2%,2%,2%,3%,3%,1%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,4%,4%,5%,6%,2%,10%,3%,5%,6%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,0%,1%,2%,0%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,0%,2%,2%,5%,3%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,96%,89%,99%,95%,100%,99%,97%,74%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,DEF 15,DEF 15,OFF 10,-3,DEF 15,OFF 10,12*,QT,12*,0,0,16,5,,,32,12,93,,,,,,,,
,,0,-2,-11,-4,F + 4,OFF 5,DEF 15,44,DEF 15,0,0,24,1,,,33,15,81,,,,,,,,
,,OFF 10,OFF 5,9*,DEF 15,OFF 5,QT,QT,33,16*,0,Yardage factors: 100% / 80%,25,0,,,34,18,66,,,,,,,,
,,5,OFF 10,B,0,9*,DEF 5,OFF 5,31,11*,0,,17,-12,,,35,18,48,,,,,,,,
,,4,-3,-2,5,7,7,15,DEF 15,12*,0,,19,-11,,,36,12,30,,,,,,,,
,,-1,9*,8*,B,-4,2,19,38,2*,0,,13,-3,,,37,9,18,,,,,,,,
,,F,7,5*,OFF 5,11,2,11,OFF 5,3*,0,,14,-1,,,38,6,9,,,,,,,,
,,0,8*,-4,9,15*,DEF 15,DEF 5,DEF 5,1*,0,,27,-4,,,39,3,3,,,,,,,,
,,B,-4,DEF 15,8*,DEF 5,PI 8,OFF 10,OFF 10,OFF 5,0,,10,F - 7,,,,,,,,,,,,,
,,OFF 5,OFF 15,OFF 15,OFF 10,OFF 10,INT 0,PI 14,PI 45,OFF 10,0,,44,-6,,,,,,,,,,,,,
,,8,1,B,F + 4,10,9,0,INT 31,11*,0,,12,-5,,,,,,,,,,,,,
,,6,2,3,0,4,5,0,0,16*,0,Power rating: 226 ± 1½,24,-14,,,,,,,,,,,,,
,,-2,0,DEF 5,7,0,8,0,0,DEF 5,0,,17,-9,,,,,,,,,,,,,
,,2,B,2,DEF 5,9,0,0,0,0,0,,18,-15,,,,,,,,,,,,,
,,9,5,8,6,0,0,15,0,0,0,,13,F - 8,,,,,,,,,,,,,
,,5,4,9,2,0,DEF 5X,14,TD,0,0,,12,2,,,,,,,,,,,,,
