#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,DEF 15,OFF 10,-3,DEF 15,OFF 10,12*,QT,12*,16,5,R
11,,-2,-11,-4,F + 4,OFF 5,DEF 15,44,DEF 15,24,1,R
12,OFF 10,OFF 5,9*,DEF 15,OFF 5,QT,QT,33,16*,25,,R
13,5,OFF 10,B,,9*,DEF 5,OFF 5,31,11*,17,-12,R
14,4,-3,-2,5,7,7,15,DEF 15,12*,19,-11,R
15,-1,9*,8*,B,-4,2,19,38,2*,13,-3,R
16,F,7,5*,OFF 5,11,2,11,OFF 5,3*,14,-1,R
17,,8*,-4,9,15*,DEF 15,DEF 5,DEF 5,1*,27,-4,R
18,B,-4,DEF 15,8*,DEF 5,PI 8,OFF 10,OFF 10,OFF 5,10,F - 7,R
19,OFF 5,OFF 15,OFF 15,OFF 10,OFF 10,INT 0,PI 14,PI 45,OFF 10,44,-6,R
20,8,1,B,F + 4,10,9,BLACK,INT 31,11*,12,-5,R
21,6,2,3,,4,5,BLACK,BLACK,16*,24,-14,R
22,-2,,DEF 5,7,BLACK,8,BLACK,BLACK,DEF 5,17,-9,R
23,2,B,2,DEF 5,9,BLACK,BLACK,BLACK,BLACK,18,-15,R
24,9,5,8,6,BLACK,BLACK,15,BLACK,BLACK,13,F - 8,R
25,5,4,9,2,BLACK,DEF 5X,14,TD,BLACK,12,2,R
26,,5,,4,BLACK,6,19,20,14*,15,3,L
27,B,4,4,-2,14,BLACK,13,26,QT,19,9,L
28,5,3,7,5,F + 2,BLACK,12,21*,F + 7,25,-9,L
29,B,F,OFF 5,2,44*,5,20,66,12*,16,3,L
30,DEF 5,5,6*,1,-6,BLACK,12,25,4*,44,4,L
31,1,4,1,3,BLACK,6,BLACK,BLACK,15,15,15,L
32,5,6,4,1,6,9,BLACK,BLACK,BLACK,18,-7,L
33,4,5,3,5,2,3,BLACK,BLACK,BLACK,11,-13,L
34,4,5,5,2,7,9,17,BLACK,BLACK,14,-10,L
35,6,4,5,8,5,7,14,BLACK,BLACK,12,-2,L
36,5,5,4,3,-1,5,BLACK,BLACK,6,10,8,L
37,5,-1,4,B,,2,BLACK,QT,14,40,-9,L
38,3,DEF 5,F - 1,-3,19,4,BLACK,23,17,16,7,L
39,7,,B*,-1,8,F + 1,INT 15,QT*,PI 22,27,13,L
