#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,64,DEF 15,DEF 5,34,11,31,NG
11,50,55,BK -12,-11,15,DEF 5,
12,OB,78,OFF 10,OFF 15,,F - 7,
13,71,F + 15,64,OFF 15,OFF 15,26,
14,56,OFF 15,32*,F + 15,-1,OFF 5,
15,70,OFF 15,58,F + 29,18,BK -8,
16,64,21,47,OFF 15,OFF 15,22,NG
17,50,73,60*,OFF 15,,15,NG
18,67,19,56*,,17,36,NG
19,66,20,49*,DEF 15,TD,19,NG
20,68,23,36*,62,,18,NG
21,73,20,45,1,13,32,
22,59,17,41,4,28,23,
23,68,,34*,12,45,21,
24,64,40,40*,7,29,18,
25,62,10,41*,2,10,25,
26,69,F + 20,33*,20,24,19,
27,66,22,46*,,23,34,
28,75,31,30*,60,16,22,
29,65,28,50,DEF 15,20,OFF 10,
30,75,34,43,14,14,32,
31,64,16,39,13,38,DEF 5X,
32,64,26,53,6,4,20,
33,63,32,35*,10,3,24,
34,64,25,52,8,4,27,
35,60,19,40*,7,7,28,
36,64,18,42*,4,4,19,
37,72,27,38*,,35,35,
38,67,35,DEF 5X,16,19,29,
39,60,F + 17,OFF 5,23,DEF 15,18,
