,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,(1),(0),,(4),,,special team,50,12,36,6,18,OFF 10,10,,1,1,1,1,,,,,,,,
,,2,,,,-2,(-1),,-2,(10),,,50,DEF 15,33*,5,DEF 15,7,11,,1,1,1,1,,,,,,,,
,,3,,,5,,,,(13),,,,70,20,54,OFF 15,OFF 15,6,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,,,,,,,,61,15,20*,23,,DEF 5X,13,,1,1,1,1,,,,,,,,
,,5,,10,,,(1),,(29),(32),QT,,OB,17,50,OFF 15,,OFF 5,14,,1,1,1,1,,,,,,,,
,B,1,(1),(1),,,,,(16),,,,OB,13,39,DEF 15,8,DEF 5,15,,1,1,1,1,,,,,,,,
,,2,-2,(2),,-2,,,,-2,,,58,OFF 15,35*,14,,9,16,,1,1,1,1,,,,,,,,
,,3,-2,,-2,,,,,,,,51,16,DEF 5,1,,F - 10,17,,1,1,1,-4,,,,,,,,
,Short Ydg,4,,(3),,,,,,,,,64,28,40,7,,5,18,,1,1,1,1,,,,,,,,
,,5,,,,,,,(39),[TD],,,OB,3,34,F - 13,,22,19,,1,1,1,1,,,,,,,,
,C,1,,,-2,,-5,,,-1,,,52,29,31*,3,,25,20,,1,1,1,1,,,,,,,,
,,2,,,-2,5,-3,,(10),,,,58,23,32,8,,36,21,,1,1,1,1,,,,,,,,
,,3,5,,-2,5,,,,(20),,,62,8,OFF 5,9,-1,15,22,,1,1,1,1,,,,,,,,
,Spread,4,10,,-5,,,,-2,-2,-2,,57,20,47,F,1,20,23,,1,1,1,1,,,,,,,,
,,5,,10,-8,,,,,(32),(1),,65,18,38*,10,18,23,24,,1,1,1,1,,,,,,,,
,D,1,,9,,,,,(10),(10),(10),,68,21,43,6,32,20,25,,1,1,1,1,,,,,,,,
,,2,,,,,,(-1),,,,,55,11,DEF 5X,12,2,BK -2,26,,-4,1,1,1,,,,,,,,
,,3,,,,,,,,,,,63,22,29*,11,,12,27,,1,1,1,1,,,,,,,,
