1983 Philadelphia                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,DEF 5,DEF 5,F - 6,DEF 5,20,DEF 5,DEF 5X,41,DEF 5,,,11,,10,,,,,,,,,,,,
,11,B,9,6,6,14,7,17,35,OFF 5,,,15,29,11,,,,,,,,,,,,
,12,DEF 15,DEF 15,DEF 15,DEF 15,,8,15,47,17,,Yardage factors: 100% / 80%,13,3,12,,,,,,,,,,,,
,13,-2,7,F,,4,5,10*,22,13*,,,20,9,13,,,,,,,,,,,,
,14,9*,F,9,-1,OFF 10,5,PI 14,OFF 15,*,,,12,11,14,,,,,,,,,,,,
,15,8,-3,1*,7,2,4,17,DEF 5,OFF 10,,,18,8,15,,,,,,,,,,,,
,16,-3,1,8*,5,12,8,19,32,OFF 10,,,13,4,16,,,,,,,,,,,,
,17,B,6,-2,8,15,OFF 10,13,TD,DEF 5X,,,12,20,17,,,,,,,,,,,,
,18,1,,5,9,OFF 5,OFF 15,OFF 5,TD,47*,,,15,,18,,,,,,,,,,,,
,19,OFF 15,OFF 15,9,OFF 15,OFF 15,PI 7,OFF 15,TD,PI 28,,,19,18,19,,,,,,,,,,,,
,20,-1,1,7*,8,DEF 15,DEF 15,DEF 15,30,PI 10,,,11,6,20,,,,,,,,,,,,
,21,7,8,2,7,F - 1,DEF 5X,OFF 10,OFF 5,,,Power rating: 216½ ± ½,24,5,21,,,,,,,,,,,,
,22,4,-1,4*,4,-3,F + 8,QT,,22*,,,29,-5,22,,,,,,,,,,,,
,23,7,4,1*,3,7,,14,,QT,,,10,-7,23,,,,,,,,,,,,
,24,4,5,2,B,-5,,,,,,,15,-11,24,,,,,,,,,,,,
,25,6,,5*,-3,9,,,QT,,,,11,-6,25,,,,,,,,,,,,
,26,5,4,5*,2,,,QT,53,,,,32,-7,26,Fumble Recovered 10-29; Lost Ball 30-39,,,,,,,,,,,
,27,F,3,OFF 15,9*,,8,11,24,,,,12,-14,27,,,,,,,,,,,,
