#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,50,12,36,6,18,OFF 10,
11,50,DEF 15,33*,5,DEF 15,7,NG
12,70,20,54,OFF 15,OFF 15,6,
13,61,15,20*,23,,DEF 5X,NG
14,OB,17,50,OFF 15,,OFF 5,
15,OB,13,39,DEF 15,8,DEF 5,NG
16,58,OFF 15,35*,14,,9,
17,51,16,DEF 5,1,,F - 10,NG
18,64,28,40,7,,5,
19,OB,3,34,F - 13,,22,NG
20,52,29,31*,3,,25,
21,58,23,32,8,,36,
22,62,8,OFF 5,9,-1,15,
23,57,20,47,F,1,20,
24,65,18,38*,10,18,23,
25,68,21,43,6,32,20,
26,55,11,DEF 5X,12,2,BK -2,
27,63,22,29*,11,,12,
28,59,46,30*,15,,24,
29,50,6,37,5,,44,
30,67,25,41,1,,15,
31,64,20,46,2,,17,
32,69,14,42,3,32,27,
33,64,26,45*,5,2,29,
34,60,19,39,1,11,35,
35,64,27,38,7,32,15,
36,56,24,44,4,1,20,
37,54,10,51*,13,18,17,
38,64,52,55,F - 7,,15,
39,66,F + 16,OFF 10,,,26,
