,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,(2),,,,-7,,special team,65,28,BK -8,,,OFF 5,10,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,66,21,OFF 10,38,-2,OFF 10,11,,1,1,1,1,,,,,,,,
,,3,5,5,5,,-1,-1,(8),,,,69,2,54,18,,DEF 5,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,,(-2),(0),,,,,71,F + 8,40,21,,BK -8,13,,-4,1,1,1,,,,,,,,
,,5,,,,,,,(26),INT 22,,,51,OFF 15,47,4,64,30,14,,1,1,1,1,,,,,,,,
,B,1,,,,(1),,,,,(6),,65,OFF 15,41,2,12,23,15,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,68,OFF 15,38*,OFF 15,,24,16,,1,1,1,1,,,,,,,,
,,3,(1),(2),,,-1,-1,[TD],,,,50,12,DEF 5X,,,20,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,(1),-4,,,(-5),(0),(17),,,,60,F + 28,38*,,,DEF 5X,18,,1,1,1,1,,,,,,,,
,,5,(1),-4,(1),,,,(40),INT 21,,,63,12,7*,3,25,31,19,,1,1,1,1,,,,,,,,
,C,1,,5,(4),10,,,,-7,(5),,64,10,37*,42,26,26,20,,1,1,1,1,,,,,,,,
,,2,,,(3),,,,,,,,64,19,55,5,16,25,21,,1,1,1,1,,,,,,,,
,,3,5,,(2),,-1,-1,,,,,72,,30*,9,,27,22,,1,1,1,1,,,,,,,,
,Spread,4,,,(2),(8),(-5),INT 7,(13),,,,58,35,44,7,,15,23,,1,1,1,1,,,,,,,,
,,5,,,(1),1,,,INT 11,INT 23,INT 12,,54,18,25*,1,19,28,24,,1,1,1,1,,,,,,,,
,D,1,,,,10,,,-8,-7,,,53,24,49*,OFF 15,5,29,25,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,52,7,31*,13,,13,26,,1,1,1,1,,,,,,,,
,,3,5,5,5,,-1,-1,,,,,63,33,OFF 5,71,26,21,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,(8),-2,(0),,,,,OB,17,57,10,,36,28,,1,1,1,1,,,,,,,,
,,5,,,10,5,,,(35),(49),,,62,23,DEF 5,9,OFF 15,14,29,,1,1,1,1,,,,,,,,
,E,1,6,,6,6,(8),(8),,INT 32,(12),,62,33,46,OFF 15,,24,30,,1,1,1,1,,,,,,,,
,,2,,,,,(9),,-1,(15),,,61,25,43*,F - 2,OFF 15,33,31,,1,1,1,1,,,,,,,,
,,3,,5,,,,,-1,(12),,,60,16,35*,,25,16,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,3,,,(10),INT 34,,,57,34,45*,6,24,31,33,,1,1,1,1,,,,,,,,
,,5,2,,2,2,,,(33),(22),,,56,14,48*,15,38,35,34,,1,1,1,1,,,,,,,,
,F,1,,,6,6,,,(10),QT,(11),,55,22,27*,11,31,32,35,,1,1,1,1,,,,,,,,
,,2,,,,,(13),,(13),,,,59,20,32*,,26,22,36,,1,1,1,1,,,,,,,,
,,3,(1),,,(2),[TD],-6,QT,INT 25,QT,,64,27,52,19,TD,10,37,,1,1,1,1,,,,,,,,
,Blitz,4,(1),,,-3,(20),,(15),,,,48,26,42,,7,9,38,,1,1,1,1,,,,,,,,
,,5,10,10,10,,(41),,(41),[TD],,,49,11,F - 12,27,OFF15,18,39,,1,1,1,1,,,,,,,,
,"Record: 7-9-0, Finished 4th in NFC West Division... W 20-17 at Chicago Bears; L 16-13 vs New York Giants (OT); W 30-14 at Detroit Lions;  L 24-20 at San Francisco 49ers;  
L 28-24 vs Philadelphia; L 19-17 vs New Orleans Saints;  L 27-21 at Los Angeles Rams;  W 27-21 at New York Jets;  W 24-13 vs New England Patriots;  L 27-10 at New Orleans Saints;  L 36-13 vs Los Angeles Rams;  W 28-24 vs San Francisco 49ers;  W 47-41 vs Green Bay Packers (OT);  L 37-21 at Washington Redskins;  L 31-24 at Miami Dolphins;   W 31-14 vs Buffalo Bills.  

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,2%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,93%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,93%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,90%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,81%,,,,,,,,13,5,,,,,
