#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,5,3,8,OFF 10,DEF 15,PI 7,PI 12,DEF 15,PI 21,19,-7,R
11,-2,5,-1,5,7,QT,17,BLACK,12,15,-14,R
12,8,-2,,5,DEF 5,12,16,BLACK,DEF 5X,18,-2,R
13,-1,F + 3,F + 4,F - 2,F + 13,F + 11,F + 15,DEF 5X,F + 17,23,-4,R
14,F,-1,-3,DEF 5,OFF 5,OFF 10,DEF 5X,BLACK,2*,26,13,R
15,3,5,3,-3,OFF 10,OFF 5,14,BLACK,4,36,10,R
16,9,6,4,6,10,14,13,BLACK,3,20,-12,R
17,5,2,7,9,8,20,15,BLACK,11,17,-11,R
18,1,OFF 15,1,7,5,DEF 15,8,BLACK,DEF 15,25,-10,R
19,OFF 15,OFF 10,OFF 10,OFF 10,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,19,-5,R
20,9,4,,8,4,DEF 5X,10,BLACK,24,12,-13,R
21,OFF 5,5,5*,9,15,QT,13,OFF 5,9,27,-4,R
22,DEF 5,7,5,6,9,18,18*,QT,OFF 10,17,-5,R
23,5,8,4*,9,4*,10,11,OFF 10,10,40,F - 4,R
24,2,B,-2,4,6*,9,BLACK,QT*,13*,10,-6,R
25,6,,5,2,7*,1,BLACK,BLACK,7,11,-8,R
26,,7,DEF 5,-1,25,BLACK,QT,BLACK,15,15,3,R
27,3,OFF 5,1,8,18,BLACK,12*,BLACK,16,18,5,R
28,8,4,6,9,12,QT,19,44,20,20,-3,L
29,OFF 10,9,7,7,6,3,DEF 15,54,28,19,-8,L
30,3,7,OFF 5,8,14,6,OFF 5,20,QT,24,8,L
31,B,5,-5,B,1,13,14*,76,BLACK,13,-6,L
32,7,1,3,1,8,5,8*,38*,BLACK,14,-7,L
33,5,5,2*,2,-5,7,BLACK,29*,BLACK,10,F - 5,L
34,4,3,B*,,BLACK,3,BLACK,31*,BLACK,11,-10,L
35,9,6,4,B,BLACK,6,BLACK,24,BLACK,25,-11,L
36,4,4,9,3,5,BLACK,BLACK,QT,BLACK,11,-9,L
37,B,DEF 5,B,7,11,BLACK,BLACK,BLACK,BLACK,14,-3,L
38,7,5,,OFF 5,40,QT,OFF 10,BLACK,OFF 5,18,-5,L
39,,B,OFF 15,6,,20*,12,PI 31,18*,16,-1,L
