,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,,,,,,,(6),,,special team,51,27,BK -10,8,,49,10,,1,1,1,1,,,
,,2,,,,(0),,,-3,,,,49,14,OFF 10,DEF 15,,21,11,,1,1,1,1,,,
,,3,,,(1),(0),(-1),,-5,,,,60,11,DEF 5,2,-6,36,12,,1,1,1,1,,,
,Standard,4,(1),(3),,,,,INT 17,(49),(17),,42,OFF 15,25*,12,35,DEF 5X,13,,1,1,1,1,,,
,,5,,,,,,,(39),(44),(12),,48,F + 17,48,11,19,43,14,,1,1,1,1,,,
,B,1,(1),(1),,,,,(14),,,,51,DEF 15,27*,1,4,35,15,,1,1,1,1,,,
,,2,(1),(1),,(-1),,,,,,,56,36,38*,5,,37,16,,1,1,1,1,,,
,,3,(0),,(1),(0),,,,,,,52,9,30,13,,23,17,,1,1,1,1,,,
,Short Ydg,4,,,-5,,,,,(28),(13),,54,,34*,3,11,17,18,,1,1,1,1,,,
,,5,,,,,,,(20),[TD],(18),,61,26,35,4,,BK -7,19,,-4,1,1,1,,,
,C,1,,,-5,,,,(14),,,,58,31,56,8,30,18,20,,1,1,1,1,,,
,,2,,,(1),,,,,,,,53,28,32*,14,,48,21,,1,1,1,1,,,
,,3,,(2),,,,,,,,,68,23,DEF 5X,OFF 15,25,DEF 5,22,,1,1,1,1,,,
,Spread,4,(2),,,(2),-4,INT 8,,(37),,,62,12,31*,F,7,39,23,,1,1,1,1,,,
,,5,,,,,-3,(0),,(22),(17),,60,OFF 15,OFF 5,10,23,38,24,,1,1,1,1,,,
,D,1,,,,4,,,(5),,,,57,18,41*,6,2,32,25,,1,1,1,1,,,
,,2,,,,,,,,,,,72,24,39*,2,30,31,26,,1,1,1,1,,,
,,3,,,(1),,,(0),,INT 33,,,49,54,33*,25,6,30,27,,1,1,1,1,,,
,Short Pass,4,,(0),,,QT,(0),,,,,48,29,51,21,OFF 15,18,28,,1,1,1,1,,,
,,5,1,3,,,QT,INT 6,1,,(25),,52,13,66,10,DEF 15,20,29,,1,1,1,1,,,
,E,1,,,,7,,,(9),,,,54,25,20*,9,,34,30,,1,1,1,1,,,
