#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,9,8,-11,5,13,3,22,33*,23*,11,12,R
11,DEF 15,DEF 15,DEF 15,DEF 15,11,OFF 15,PI 13,62*,21*,12,-14,R
12,OFF 10,1,9,4,18*,DEF 5,21,41,-1*,16,14,R
13,DEF 5,DEF 5,DEF 5,6,6,6,18,INT 23,QT,13,-6,R
14,B,-1,6*,2,OFF 5,9*,19,42,16*,14,F - 6,R
15,DEF 5,9*,3*,-2,-5,7,OFF 5,34,15*,15,F - 10,R
16,3,4,7,8,-4,F + 4,DEF 5,DEF 5,26*,11,5,R
17,4,5,4*,5,DEF 15,OFF 15,OFF 15,OFF 15,OFF 15,15,-11,R
18,OFF 15,OFF 15,OFF 15,OFF 10,OFF 15,DEF 5X,26,DEF 15,PI 4,22,-10,R
19,F - 2,5,-13,9,10,PI 7,PI 24,56,OFF 5,22,-13,R
20,OFF 5,-2,2,7,15*,DEF 15,14,44*,20*,10,-5,R
21,3,2,5,-1,7,INT 7,13,OFF 5,5,37,-4,R
22,7,OFF 5,OFF 10,DEF 5,BLACK,BLACK,BLACK,OFF 10,24*,16,-6,R
23,8,,3,8,BLACK,OFF 10,BLACK,39,3,13,4,R
24,4,6,2*,4,OFF 10,BLACK,BLACK,26,OFF 10,12,-3*,L
25,6,5,-1,OFF 5,9,2,11,48,DEF 5X,17,F - 11,L
26,,4,OFF 5,6,QT*,4,OFF 10,37,17*,14,11,L
27,5,1,3,3,3,8,17,31,10*,16,7,L
28,2,1,3,2,14*,11,INT 12,30,DEF 15,18,6,L
29,2,OFF 10,7,OFF 15,DEF 5,20,DEF 5X,40,DEF 5,11,3,L
30,5,5,-5,5,8*,1,INT 20,BLACK,BLACK,22,,L
31,F,F + 7,F -1,F + 2,12,3,BLACK,BLACK,BLACK,10,-9,L
32,-1,6,1,5,2,9,BLACK,BLACK,BLACK,12,-8,L
33,6,B,-2*,1,BLACK,BLACK,BLACK,BLACK,BLACK,15,-2,L
34,3,1,B,1,BLACK,BLACK,BLACK,BLACK,BLACK,11,-10,L
35,1,5,1,B,23,7,BLACK,BLACK,BLACK,19,-11,L
36,1,1,B*,5,,6,BLACK,QT,BLACK,12,-7,L
37,1,7*,1,,-3,8,QT,QT,BLACK,10,-12,L
38,3,3,,-3,INT -1,5,15*,QT,F + 11,37,-5,L
39,5,10,5*,1,-9,10,23*,PI 32,INT 5,22,-1,L
