#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,51,27,BK -10,8,,49,
11,49,14,OFF 10,DEF 15,,21,
12,60,11,DEF 5,2,-6,36,
13,42,OFF 15,25*,12,35,DEF 5X,
14,48,F + 17,48,11,19,43,
15,51,DEF 15,27*,1,4,35,
16,56,36,38*,5,,37,
17,52,9,30,13,,23,
18,54,,34*,3,11,17,
19,61,26,35,4,,BK -7,NG
20,58,31,56,8,30,18,
21,53,28,32*,14,,48,
22,68,23,DEF 5X,OFF 15,25,DEF 5,
23,62,12,31*,F,7,39,
24,60,OFF 15,OFF 5,10,23,38,
25,57,18,41*,6,2,32,
26,72,24,39*,2,30,31,
27,49,54,33*,25,6,30,
28,48,29,51,21,OFF 15,18,
29,52,13,66,10,DEF 15,20,
30,54,25,20*,9,,34,
31,OB,16,38,OFF 15,,OFF 5,
32,63,15,43*,1,21,26,
33,57,19,44*,7,22,28,
34,60,22,42*,5,3,22,
35,64,20,40*,,11,25,
36,50,21,45*,6,17,16,
37,59,17,46,1,2,39,NG
38,52,26,49,27,10,38,
39,53,2,61,15,,OFF 10,
