,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,5,,,-4,,(5),1,-1,,special team,72,F,BK -10,4,3,6,10,,1,1,1,1,,,
,,2,,,,-4,(0),,1,-1,,,63,OFF 15,DEF 5X,,5,15,11,,1,1,1,1,,,
,,3,,,5,-4,,(7),(10),INT 32,(10),,OB,13,51,5,42,10,12,,1,1,1,1,,,
,Standard,4,10,10,,,,,,-1,,,58,F + 17,50,OFF 15,TD,25,13,,1,1,1,1,,,
,,5,(2),,(4),,,,,,[TD],,60,F + 26,41*,OFF 15,,26,14,,1,1,1,1,,,
,B,1,-3,-4,,-1,,(4),,,,,55,7,45,OFF 15,-1,13,15,,1,1,1,1,,,
,,2,-3,-4,,-1,,,,,,,56,46,40,9,8,35,16,,1,1,1,1,,,
,,3,-3,-4,,-1,,(7),,(11),,,61,29,56,,OFF 15,OFF 10,17,,1,1,1,1,,,
,Short Ydg,4,(1),,,,QT,,(28),,(16),,64,12,OFF 15,,2,24,18,,1,1,1,1,,,
,,5,(2),,-1,,,,(25),,(24),,67,64,39,26,2,30,19,,1,1,1,1,,,
,C,1,5,,-5,,,(4),,,-6,,59,45,43,10,7,23,20,,1,1,1,1,,,
,,2,,,-5,,(0),,,,-6,,55,21,52,11,34,12,21,,1,1,1,1,,,
,,3,,,-5,,,(6),,,,,74,22,44*,13,17,30,22,,1,1,1,1,,,
,Spread,4,10,5,,10,,QT,,,,,53,OFF 15,OFF 5,6,15,28,23,,1,1,1,1,,,
,,5,(2),,,1,,,[TD],[TD],,,60,18,43,14,6,24,24,,1,1,1,1,,,
,D,1,5,,,,,(5),-1,-1,(10),,60,19,37*,OFF 15,57,7,25,,1,1,1,1,,,
,,2,5,,,5,(-2),,-1,-1,(10),,73,35,26*,26,42,BK -9,26,,-4,1,1,1,,,
,,3,,,5,5,(-1),,,INT 37,,,OB,31,28*,76,30,33,27,,1,1,1,1,,,
,Short Pass,4,(7),1,1,(9),,,,-1,,,58,44,24*,21,4,OFF 5,28,,1,1,1,1,,,
,,5,(1),2,1,13,,,,,,,64,26,DEF 5,13,2,DEF 5X,29,,1,1,1,1,,,
,E,1,5,,,5,,-1,(10),(10),(10),,65,25,OFF 10,19,24,OFF 10,30,,1,1,1,1,,,
,,2,5,5,,,,-1,,-20,,,62,16,33*,8,35,18,31,,1,1,1,1,,,
,,3,5,,5,5,,-1,,INT 38,,,64,24,48,9,43,34,32,,1,1,1,1,,,
,Long Pass,4,(8),1,,(15),,,,-20,,,54,17,35*,-1,,16,33,,1,1,1,1,,,
,,5,(2),,,(9),,(27),(20),-28,1,,60,27,39,12,,31,34,,1,1,1,1,,,
