Set-Label,Row,1,2,3,4,5,6,7,8,9
A-Standard,1,5,,,-4,,(5),1,-1,
A-Standard,2,,,,-4,(0),,1,-1,
A-Standard,3,,,5,-4,,(7),(10),INT 32,(10)
A-Standard,4,10,10,,,,,-1,
A-Standard,5,(2),,(4),,,,,, [TD]
B-Short Ydg,1,-3,-4,,-1,,(4),,,,
B-Short Ydg,2,-3,-4,,-1,,,,,,
B-Short Ydg,3,-3,-4,,-1,,(7),,(11),
B-Short Ydg,4,(1),,,QT,,(28),,(16)
B-Short Ydg,5,(2),,-1,,,(25),,(24)
C-Spread,1,5,,-5,,,(4),,,-6
C-Spread,2,,,-5,,(0),,,, -6
C-Spread,3,,,-5,,,(6),,,
C-Spread,4,10,5,,10,,QT,,,
C-Spread,5,(2),,,1,,,[TD],[TD],
D-Short Pass,1,5,,,,,(5),-1,-1,(10)
D-Short Pass,2,5,,,5,(-2),,-1,-1,(10)
D-Short Pass,3,,,5,5,(-1),,,INT 37,
D-Short Pass,4,(7),1,1,(9),,,,-1,
D-Short Pass,5,(1),2,1,13,,,,,,
E-Long Pass,1,5,,,5,,-1,(10),(10),(10)
E-Long Pass,2,5,5,,,,,-1,,-20,
E-Long Pass,3,5,,5,5,,-1,,INT 38,
E-Long Pass,4,(8),1,,(15),,,-20,,
E-Long Pass,5,(2),,,(9),,(27),(20),-28,1
F-Blitz,1,-2,-2,-1,,(15),,,QT,
F-Blitz,2,-1,-2,-1,-1,(32),,,QT,
F-Blitz,3,-1,,,,(15),(10),QT,QT,QT
F-Blitz,4,(12),10,(19),10,,QT,[TD],QT
F-Blitz,5,(0),15,-6,(-1),,QT,INT 14,[TD],QT
