#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,,5,OFF 10,4,DEF 5X,OFF 15,OFF 15,INT 34,OFF 15,15,-14,R
11,OFF 10,OFF 10,-6,3,OFF 15,13*,INT 12,33*,6,19,12,R
12,B,B,3*,OFF 10,OFF 5,OFF 10,12,50,DEF 5X,17,-11,R
13,3,6,5,6,16,8,16*,OFF 5,20,10,F - 9,R
14,2,7,1*,3,11,4,OFF 5,28,3,78,F - 6,R
15,1,4,6,F + 4,12,DEF 5X,QT,25,13,42,6,R
16,-2,-2,5,1,19,-2,12*,46,7,18,3,R
17,3,5,5*,2,6,7,DEF 5,35,INT 5,46,14,R
18,6,8,-2*,DEF 5X,34,DEF 15,DEF 15,DEF 15,DEF 15,16,-11,R
19,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,PI 7,PI 11,PI 22,PI 10,13,17,R
20,F,-3,6*,7,8,DEF 5,16,DEF 5X,14,19,-1,R
21,5,8,2,5,6,8,15,23,4*,15,-7,R
22,8,F,OFF 5,DEF 5,F + 5,18*,OFF 10,21*,BLACK,12,-9,R
23,2,7,B*,1,BLACK,BLACK,11,INT 29,BLACK,13,-8,R
24,,6,B,,21,BLACK,BLACK,BLACK,BLACK,46,-12,R
25,-1,2,-3,4,3,OFF 5,16,OFF 10,7*,11,-6,L
26,3,5,7*,OFF 5,10,3,14,22*,5,14,-4,L
27,5,4,-1,5,2,6,DEF 5X,31*,6,16,-9,L
28,-2,7,5,6,-3,2,18,30,OFF 10,18,-2,L
29,7,3,8,1,7,15,15*,42,DEF 5,25,-13,L
30,9,6,6,-2,BLACK,10,INT 14,QT*,9,19,-7,L
31,DEF 5,OFF 5,F,B,BLACK,BLACK,12,QT,-1*,12,-3*,L
32,4,-1,9*,5,7,BLACK,13,BLACK,OFF 5,11,-7,L
33,B,,4*,8,5,BLACK,BLACK,BLACK,BLACK,10,-10,L
34,5,B,5,-1,-1,4,BLACK,64,BLACK,10,-5,L
35,5,1,,B,,5,10,QT,BLACK,10,-8,L
36,4,6,6,5,OFF 10,BLACK,BLACK,BLACK,BLACK,12,1*,L
37,OFF 5,4,DEF 5,1,4,BLACK,QT,BLACK,BLACK,31,2,L
38,8,5,OFF 15,9,DEF 5,-1,19,DEF 5,14,14,9,L
39,B,9,DEF 5X,4,33,INT 7,17*,48,4,17,25,L
