#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,72,F,BK -10,4,3,6,
11,63,OFF 15,DEF 5X,,5,15,
12,OB,13,51,5,42,10,
13,58,F + 17,50,OFF 15,TD,25,NG
14,60,F + 26,41*,OFF 15,,26,
15,55,7,45,OFF 15,-1,13,
16,56,46,40,9,8,35,
17,61,29,56,,OFF 15,OFF 10,
18,64,12,OFF 15,,2,24,
19,67,64,39,26,2,30,
20,59,45,43,10,7,23,
21,55,21,52,11,34,12,
22,74,22,44*,13,17,30,
23,53,OFF 15,OFF 5,6,15,28,
24,60,18,43,14,6,24,
25,60,19,37*,OFF 15,57,7,
26,73,35,26*,26,42,BK -9,
27,OB,31,28*,76,30,33,
28,58,44,24*,21,4,OFF 5,
29,64,26,DEF 5,13,2,DEF 5X,
30,65,25,OFF 10,19,24,OFF 10,
31,62,16,33*,8,35,18,
32,64,24,48,9,43,34,
33,54,17,35*,-1,,16,
34,60,27,39,12,,31,
35,71,20,42,7,OFF 15,32,
36,57,14,31*,1,,21,
37,64,15,36*,F,,DEF 5,
38,70,38,44*,16,34,5,
39,60,39,51,15,13,2,
