,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,2,,,(0),-10,,,,,special team,63,OFF 15,F - 13,,OFF 15,22,10,,1,1,1,1,,,,,,,,
,,2,,,,(1),,,-4,,,,53,14,F - 13,,11,19,11,,1,1,1,1,,,,,,,,
,,3,,2,(5),,,(7),-1,,(7),,60,20,DEF 5,66,F + 1,13,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,,-2,,,,,,70,51,26*,10,5,DEF 5X,13,,1,1,1,1,,,,,,,,
,,5,,,,,,,(35),QT,(28),,65,31,60,OFF 15,OFF 15,DEF 5,14,,1,1,1,1,,,,,,,,
,B,1,(1),,,(0),,-2,(17),,,,69,F + 4,27*,OFF 15,OFF 15,OFF 10,15,,1,1,1,1,,,,,,,,
,,2,(1),(1),,(0),,-6,(19),,,,61,30,22*,43,DEF 15,14,16,,1,1,1,1,,,,,,,,
,,3,(0),(2),(3),,,(0),,(24),,,62,,32,,,17,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,,(3),,,(17),,,,,,58,29,35*,,11,24,18,,1,1,1,1,,,,,,,,
,,5,,(-1),,,5,,(22),[TD],[TD],,56,12,46,12,24,37,19,,1,1,1,1,,,,,,,,
,C,1,2,,(1),,-12,,,,,,56,32,31*,5,18,32,20,,1,1,1,1,,,,,,,,
,,2,,1,(1),1,,,,(21),,,64,25,45,DEF 15,15,37,21,,1,1,1,1,,,,,,,,
,,3,,,(3),1,,,,,(5),,OB,16,OFF 5,8,24,18,22,,1,1,1,1,,,,,,,,
,Spread,4,,,,,,INT 7,,,,,61,26,41,2,31,31,23,,1,1,1,1,,,,,,,,
,,5,,,,,,,(40),QT,,,57,27,40,,2,21,24,,1,1,1,1,,,,,,,,
,D,1,,1,1,2,-5,,,,,,63,15,43,F,4,30,25,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,53,19,38*,15,6,OFF 5,26,,1,1,1,1,,,,,,,,
,,3,2,,,,,,,,,,66,24,39,19,1,10,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,,,,,,-8,,58,33,OFF 10,81,31,29,28,,1,1,1,1,,,,,,,,
,,5,,,,,,,INT 16,INT 27,9,,59,DEF 15,47,,13,27,29,,1,1,1,1,,,,,,,,
,E,1,,1,1,,-6,,,,,,58,15,42,14,,13,30,,1,1,1,1,,,,,,,,
,,2,(7),,,,,,,,(7),,51,21,DEF 5X,11,8,36,31,,1,1,1,1,,,,,,,,
,,3,,,,4,,,,INT 23,,,55,28,43*,6,70,20,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,(17),-10,,-8,,50,OFF 15,42,,3,28,33,,1,1,1,1,,,,,,,,
,,5,,,,,,,(10),(10),,,60,17,40*,13,4,15,34,,1,1,1,1,,,,,,,,
,F,1,-2,1,-2,,(26),3,,,,,64,18,41*,12,13,36,35,,1,1,1,1,,,,,,,,
,,2,,,-5,5,4,(18),,QT,,,52,25,53,7,,23,36,,1,1,1,1,,,,,,,,
,,3,,(-1),(23),-6,-5,-5,QT,QT,QT,,54,22,44,23,2,26,37,,1,1,1,1,,,,,,,,
,Blitz,4,4,,-13,(1),8,7,,QT,QT,,56,24,38*,F + 5,6,16,38,,1,1,1,1,,,,,,,,
,,5,-5,,,,14,11,[TD],QT,,,54,23,BK -24,,,33,39,,1,1,1,1,,,,,,,,
,"Record: 9-7-0, Finished 1st in NFC Central Division…W 11-0 at Tampa Bay Buccaneers;  L 31-26 vs Cleveland Browns;  L 30-14 vs Atlanta Falcons; L 20-17 at MinnesotaVikings;  L 21-10 at Los Angeles Rams; W 38-14 vs Green Bay Packers; W 31-17 vs Chicago Bears; L 38-17 at Washington Redskins; W 38-17 at Chicago Bears; W 15-9 vs New York Giants; L 27-17 at Houston Oilers; W 23-20 at Green Bay Packers (OT) at Milwaukee, WI; W 45-3 vs Pittsburgh Steelers; W 13-2 vs Minnesota Vikings; L 17-9 at Cincinnati Bengals; W 23-20 vs Tampa Bay Buccaneers. Post Season: Divisional Playoffs  L 24-23 at San Francisco 49ers.  

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,0%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,88%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,88%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,88%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,79%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,62%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,43%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,29%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,16%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,3%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,13%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,,,,,,
