1983 Detroit                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,OFF 10,8,5,3,OFF 10,DEF 15,DEF 15,INT 42,23,,,18,10,10,,,,,,,,,,,,
,11,DEF 15,OFF 10,5,5,54,DEF 5X,10,41,PI 8,,,17,11,11,,,,,,,,,,,,
,12,1,F - 1,DEF 5,OFF 10,OFF 5,3,13,OFF 5,F + 5,,Yardage factors: 100% / 80%,11,12,12,,,,,,,,,,,,
,13,2,OFF 5,5,6,25,OFF 5,OFF 5,TD,27*,,,13,16,13,,,,,,,,,,,,
,14,OFF 5,5,5*,2,18,13,OFF 10,20,4*,,,27,1,14,,,,,,,,,,,,
,15,,7,-10,2,INT -6,12,DEF 5X,23,7*,,,11,3*,15,,,,,,,,,,,,
,16,,9,F - 5,OFF 5,F - 1,4,12,DEF 5X,10,,,30,2,16,,,,,,,,,,,,
,17,3,-2,OFF 15,5,43,OFF 10,19,37*,QT,,,19,27,17,,,,,,,,,,,,
,18,5,6,DEF 15,3,DEF 5,6,11*,OFF 15,40,,,14,4,18,,,,,,,,,,,,
,19,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,,,15,F - 9,19,,,,,,,,,,,,
,20,-2,7,5,F - 1,17,10,15,33,QT,,,40,5,20,,,,,,,,,,,,
,21,2,-1,9,,16,15,16,QT,DEF 5X,,Power rating: 221 ± 2,37,9,21,,,,,,,,,,,,
,22,DEF 5,1,OFF 5,1,27,,F + 13,QT,14,,,10,6,22,,,,,,,,,,,,
,23,1,5,7,3,,9,INT 18,OFF 10,13,,,16,-6,23,,,,,,,,,,,,
,24,4,4,B,7,3,11,10,INT 28,QT,,,13*,-3,24,,,,,,,,,,,,
,25,,,3*,8,5,8,14,QT,-2,,,11,-9,25,,,,,,,,,,,,
,26,-1,,,1,15,F + 9,17,QT*,6,,,20,8*,26,Fumble Recovered 10-32; Lost Ball 33-39,,,,,,,,,,,
,27,3,2,9,-1,10,-2,QT,QT,OFF 10,,,18,-4,27,,,,,,,,,,,,
,28,F - 2,DEF 5,9*,7,4,14,PI 15,31,32*,,,41,-6,28,,,,,,,,,,,,
,29,8,DEF 15,OFF 10,DEF 15,6,16,13*,DEF 15,18*,,,15,-12,29,,,,,,,,,,,,
,30,6,4,8,DEF 5,7,5,18,,46,,,14,-13,30,,,,,,,,,,,,
,31,1,B,F,5,9,17,,,1,,,24,-11,31,,,,,,,,,,,,
,32,4,5,1,,,,,,,,,13,-6,32,,,,,,,,,,,,
,33,B,4,2,9,,,,,,,,11,-7,33,,,,,,,,,,,,
,34,4,5,B,,,,,39*,,,,12,-10,34,,,,,,,,,,,,
,35,4,5,1,B,-2,,,,,,,10,-9,35,,,,,,,,,,,,
,36,4,5,2*,1,,,,,,,,16,-5,36,,,,,,,,,,,,
,37,9,3, -1*,4,,7,,22*,3*,,,26,F - 8,37,,,,,,,,,,,,
,38,8,4,8,2,8,10,,,15*,,,56,-2,38,,,,,,,,,,,,
,39,7,5,-2,B,QT,PI 7,16,80,OFF 5,,,25,-14,39,,,,,,,,,,,,
,"With a 9-7 record the 1983 Lions rose to the top of a weak NFC Central, to claim their first division championship since 1957. In the playoffs the Lions led the San Francisco 49ers late in the 4th Quarter, until Joe Montana drove the 49ers down the field for a 14-yard touchdown pass to Freddie Solomon to give the 49ers a 24-23 lead. The Lions would havehad  a chance to win the game, when Gary Danielson drove them into field goal range, but Kicker Eddie Murray missed a 44-yard field goal with five seconds remaining.
",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,16%,13%,12%,19%,44%,41%,46%,36%,40%,,,0%,67%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,38,10,2,216,33-39,,,,,,,
"1 +1, 2",,66%,74%,59%,61%,46%,47%,32%,26%,40%,,,100%,28%,,,11,3,214,33,,,,,,,
"4 +1, 2",,46%,63%,27%,33%,41%,45%,32%,26%,32%,,,100%,21%,,,12,4,211,33,81,,,,,,
8 +2,,8%,3%,13%,13%,30%,36%,32%,26%,23%,,,100%,14%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,20%,15%,24%,26%,21%,,,71%,6%,,,14,6,202,,,,,,,,
B / T3,,7%,4%,14%,10%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,2%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,2%,2%,6%,2%,2%,4%,4%,0%,2%,,,0%,5%,,,18,2,183,,,,,,,,
OFF Pen,,4%,4%,6%,4%,3%,4%,5%,7%,4%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,5%,3%,3%,4%,1%,4%,6%,3%,5%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,3%,0%,5%,6%,0%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,1%,0%,3%,19%,9%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,OFF 10,8,5,3,OFF 10,DEF 15,DEF 15,INT 42,23,0,0,18,10,,,32,12,93,,,,,,,,
,,DEF 15,OFF 10,5,5,54,DEF 5X,10,41,PI 8,0,0,17,11,,,33,15,81,,,,,,,,
,,1,F - 1,DEF 5,OFF 10,OFF 5,3,13,OFF 5,F + 5,0,Yardage factors: 100% / 80%,11,12,,,34,18,66,,,,,,,,
,,2,OFF 5,5,6,25,OFF 5,OFF 5,TD,27,0,0,13,16,,,35,18,48,,,,,,,,
,,OFF 5,5,5,2,18,13,OFF 10,20,4,0,0,27,1,,,36,12,30,,,,,,,,
