#,1,2,3,4,5,6,7,8,9
A,1,2,,,(0),-10,,,BLACK,BLACK
A,2,,,,(1),,,-4,,
A,3,,2,(5),,,(7),-1,,(7)
A,4,,,,,-2,,,,
A,5,,,,,BLACK,,(35),QT,(28)
B,1,(1),,,(0),,-2,(17),,
B,2,(1),(1),,(0),,-6,(19),,
B,3,(0),(2),(3),,,(0),,(24),
B,4,,(3),,,(17),,,,
B,5,,(-1),,,5,,(22),[TD],[TD]
C,1,2,,(1),,-12,,,BLACK,BLACK
C,2,,1,(1),1,,,,(21),
C,3,,,(3),1,,,,,(5)
C,4,,,,,,INT 7,,,
C,5,,,,,,,(40),QT,
D,1,,1,1,2,-5,,BLACK,BLACK,BLACK
D,2,,,,,,,,,
D,3,2,,,,,,BLACK,,
D,4,,,,,,BLACK,,,-8
D,5,,,,,,BLACK,INT 16,INT 27,9
E,1,,1,1,,-6,,,BLACK,
E,2,(7),,,,,,,BLACK,(7)
E,3,,,,4,,,,INT 23,BLACK
E,4,,,,,,(17),-10,,-8
E,5,,,,,,,(10),(10),
F,1,-2,1,-2,,(26),3,,,
F,2,,,-5,5,4,(18),,QT,
F,3,,(-1),(23),-6,-5,-5,QT,QT,QT
F,4,4,,-13,(1),8,7,,QT,QT
F,5,-5,,,,14,11,[TD],QT,
