#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,Fumble Recovery
10,OFF 10,8,5,3,OFF 10,DEF 15,DEF 15,INT 42,23,R
11,DEF 15,OFF 10,5,5,54,DEF 5X,10,41,PI 8,R
12,1,F - 1,DEF 5,OFF 10,OFF 5,3,13,OFF 5,F + 5,R
13,2,OFF 5,5,6,25,OFF 5,OFF 5,TD,27*,R
14,OFF 5,5,5*,2,18,13,OFF 10,20,4*,R
15,,7,-10,2,INT -6,12,DEF 5X,23,7*,R
16,,9,F - 5,OFF 5,F - 1,4,12,DEF 5X,10,R
17,3,-2,OFF 15,5,43,OFF 10,19,37*,QT,R
18,5,6,DEF 15,3,DEF 5,6,11*,OFF 15,40,R
19,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,R
20,-2,7,5,F - 1,17,10,15,33,QT,R
21,2,-1,9,,16,15,16,QT,DEF 5X,R
22,DEF 5,1,OFF 5,1,27,,F + 13,QT,14,R
23,1,5,7,3,,9,INT 18,OFF 10,13,R
24,4,4,B,7,3,11,10,INT 28,QT,R
25,,3*,8,5,8,14,QT,-2,R
26,-1,,,1,15,F + 9,17,QT*,6,R
27,3,2,9,-1,10,-2,QT,QT,OFF 10,R
28,F - 2,DEF 5,9*,7,4,14,PI 15,31,32*,R
29,8,DEF 15,OFF 10,DEF 15,6,16,13*,DEF 15,18*,R
30,6,4,8,DEF 5,7,5,18,,46,R
31,1,B,F,5,9,17,,,1,R
32,4,5,1,,,,,,R
33,B,4,2,9,,,,,,L
34,4,5,B,,,,,39*,,L
35,4,5,1,B,-2,,,,,L
36,4,5,2*,1,,,,,,L
37,9,3,-1*,4,,7,,22*,3*,L
38,8,4,8,2,8,10,,,15*,L
39,7,5,-2,B,QT,PI 7,16,80,OFF 5,L
