,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,1,1,,,,,(12),,special team,59,34,BK -11,8,16,19,10,,1,1,1,1,,,,,,,,
,,2,,1,1,(1),,,,,,,52,81,53,,DEF 15,OFF 10,11,,1,1,1,1,,,,,,,,
,,3,10,10,(8),,(-6),(-2),(12),,,,56,11,DEF 5X,10,OFF 15,34,12,,1,1,1,1,,,,,,,,
,Standard,4,,,(7),,,,,,,,51,7,20*,12,21,14,13,,1,1,1,1,,,,,,,,
,,5,,,,,,,,(20),,,58,27,OFF 10,DEF 15,,11,14,,1,1,1,1,,,,,,,,
,B,1,,,2,(0),,,[TD],,,,50,5,49,9,3,13,15,,1,1,1,1,,,,,,,,
,,2,,(1),2,(0),,,,,,,68,93,48,16,-1,32,16,,1,1,1,1,,,,,,,,
,,3,(0),(0),(4),(1),,,,,,,53,30,51,12,,DEF 5X,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,(0),(1),,,QT,QT,QT,QT,QT,,57,16,28*,10,,DEF 5,18,,1,1,1,1,,,,,,,,
,,5,(0),,,,,,,,(1),,DEF 5,43,46*,,21,40,19,,1,1,1,1,,,,,,,,
,C,1,,1,(1),10,,,,,,,66,97,31*,12,9,36,20,,1,1,1,1,,,,,,,,
,,2,,1,(1),10,,,,,,,58,29,40,F,19,7,21,,1,1,1,1,,,,,,,,
,,3,10,1,,,(-4),,(12),(12),,,67,22,38,3,,15,22,,1,1,1,1,,,,,,,,
,Spread,4,,,,,,,,,,,44,OFF 15,41,23,,BK -15,23,,-4,1,1,1,,,,,,,,
,,5,,,,,,,,(44),,,OB ,13,43,7,27,24,24,,1,1,1,1,,,,,,,,
,D,1,10,2,2,,,,,,,,61,17,42,6,,23,25,,1,1,1,1,,,,,,,,
,,2,1,2,2,,,,,(12),,,48,DEF 15,DEF 5,-1,44,12,26,,1,1,1,1,,,,,,,,
,,3,3,2,2,10,,(-1),(12),,(3),,66,24,30*,10,14,17,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,(5),,,,-5,-10,-20,,,52,14,33*,4,16,OFF 5,28,,1,1,1,1,,,,,,,,
,,5,,,,,,,,(39),,,51,26,26*,-2,,27,29,,1,1,1,1,,,,,,,,
,E,1,10,2,2,7,,,,,,,46,OFF 15,47,OFF 15,,16,30,,1,1,1,1,,,,,,,,
,,2,1,(5),2,6,(9),(6),,,(5),,62,19,35*,OFF 15,27,42,31,,1,1,1,1,,,,,,,,
,,3,1,2,2,,(6),(6),(12),INT 33,(6),,56,32,37*,,,25,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,,,,,,40,16,39*,8,4,29,33,,1,1,1,1,,,,,,,,
,,5,,,,,,,,,(1),,58,21,OFF 5,16,21,30,34,,1,1,1,1,,,,,,,,
,F,1,,,(23),,,(17),QT,QT,-10,,59,15,40,5,44,35,35,,1,1,1,1,,,,,,,,
,,2,,,,(-2),50,,-6,,,,64,18,36*,7,,26,36,,1,1,1,1,,,,,,,,
,,3,(-2),,,,(15),-2,-1,,,,42,8,44,6,-1,41,37,,1,1,1,1,,,,,,,,
