1983 Houston                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,OFF 15,DEF 5,DEF 15,5,9*,DEF 15,DEF 5,34,DEF 5X,,,10,-3,10,,,,,,,,,,,,
,11,9*,8,-3,DEF 15,15,9,DEF 15,40,DEF 15,,,12,6,11,,,,,,,,,,,,
,12,DEF 15,9,4,4,5,8,PI 23,PI 20,F + 10,,Yardage factors: 100% / 80%,24,7,12,,,,,,,,,,,,
,13,3,-1,OFF 15,1,4,32,OFF 5,DEF 5X,15*,,,17,-2,13,,,,,,,,,,,,
,14,-1,7,-2,5,66,DEF 5X,18,OFF 5,13*,,,14,-8,14,,,,,,,,,,,,
,15,2,F - 2,-1,3,11,13*,QT,23,10*,,,27,-5,15,,,,,,,,,,,,
,16,7,6,F + 3,2,DEF 5,8,INT 10,21,8*,,,26,,16,,,,,,,,,,,,
,17,8*,5,-6,5,2,6,QT*,44,INT 4,,,10,17,17,,,,,,,,,,,,
,18,DEF 15,-2,OFF 10,OFF 15,DEF 15,16,17,39*,DEF 5,,,10,-1,18,,,,,,,,,,,,
,19,B*,9,-8,,OFF 15,INT 4,29,DEF 15,PI 9,,,19,-14,19,,,,,,,,,,,,
,20,-2,OFF 5,2,,-6,6,24*,DEF 5,3*,,,10,20,20,,,,,,,,,,,,
,21,1,7,6,B,INT -1,DEF 5,11*,43,12*,,Power rating: 211 ± 1½,27,4,21,,,,,,,,,,,,
,22,5,5,B*,,OFF 10,OFF 10,DEF 5X,25,QT,,,15,11,22,,,,,,,,,,,,
,23,4,,B*,9*,,5,,OFF 10,QT,,,23,F - 7,23,,,,,,,,,,,,
,24,,3,8,B,,,,48,11*,,,80,-12,24,,,,,,,,,,,,
,25,5,4,9*,6,,,,46,14*,,,35,-7,25,,,,,,,,,,,,
,26,F + 2,B*,,8,OFF 5,,,INT 26,OFF 5,,,14,-5,26,Fumble Recovered 10-23; Lost Ball 24-39,,,,,,,,,,,
,27,5,6,5,F + 3,,15,,INT 24,OFF 10,,,16,-6,27,,,,,,,,,,,,
,28,6,8,3,OFF 10,12,INT 10,,47,PI 13,,,25,-4,28,,,,,,,,,,,,
,29,OFF 10,OFF 15,1,-2,6,14,,,,,,17,-7,29,,,,,,,,,,,,
,30,4,8,5,-1,8,11,12,,,,,13,-9,30,,,,,,,,,,,,
,31,3,3,1,1,QT,6,19,,,,,12,F - 6,31,,,,,,,,,,,,
,32,4,3,1,1,1,7,23,,,,,29,-13,32,,,,,,,,,,,,
,33,4,4,1,5,3*,4,,,,,,18,-10,33,,,,,,,,,,,,
