#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,1,1,,,,,(12),
A-2,A,2,,1,1,(1),,,,,
A-3,A,3,10,10,(8),,(-6),(-2),(12),,
A-4,A,4,,,(7),,BLACK,BLACK,,,
A-5,A,5,,,,,BLACK,BLACK,,(20),
B-1,B,1,,,2,(0),,,(TD),,
B-2,B,2,,(1),2,(0),,,,,
B-3,B,3,(0),(0),(4),(1),,,,,
B-4,B,4,(0),(1),,,QT,QT,QT,QT,QT
B-5,B,5,(0),,,,,,,,(1)
C-1,C,1,,1,(1),10,,,,,
C-2,C,2,,1,(1),10,,,,,
C-3,C,3,10,1,,,(-4),,(12),(12),
C-4,C,4,,,,,BLACK,BLACK,,,BLACK
C-5,C,5,,,,,BLACK,BLACK,,(44),BLACK
D-1,D,1,10,2,2,,,,,,
D-2,D,2,1,2,2,,,,,(12),
D-3,D,3,3,2,2,10,,(-1),(12),,(3)
D-4,D,4,,(5),,,BLACK,-5,-10,-20,
D-5,D,5,,,,,BLACK,BLACK,BLACK,(39),BLACK
E-1,E,1,10,2,2,7,,,,,
E-2,E,2,1,(5),2,6,(9),(6),,BLACK,(5)
E-3,E,3,1,2,2,,(6),(6),(12),INT 33,(6)
E-4,E,4,,,,,,,BLACK,BLACK,
E-5,E,5,,,,,,,BLACK,BLACK,(1)
F-1,F,1,,,(23),,,(17),QT,QT,-10
F-2,F,2,,,,(-2),50,,-6,,
F-3,F,3,(-2),,,,(15),-2,-1,,
F-4,F,4,,(-3),(-3),,,INT 5,(TD),,
F-5,F,5,,(3),,BLACK,,,INT 15,(TD),INT 16
