#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,DEF 5,DEF 15,5,9*,DEF 15,DEF 5,34,DEF 5X,10,-3,R
11,9*,8,-3,DEF 15,15,9,DEF 15,40,DEF 15,12,6,R
12,DEF 15,9,4,4,5,8,PI 23,PI 20,F + 10,24,7,R
13,3,-1,OFF 15,1,4,32,OFF 5,DEF 5X,15*,17,-2,R
14,-1,7,-2,5,66,DEF 5X,18,OFF 5,13*,14,-8,R
15,2,F - 2,-1,3,11,13*,QT,23,10*,27,-5,R
16,7,6,F + 3,2,DEF 5,8,INT 10,21,8*,26,,R
17,8*,5,-6,5,2,6,QT*,44,INT 4,10,17,R
18,DEF 15,-2,OFF 10,OFF 15,DEF 15,16,17,39*,DEF 5,10,-1,R
19,B*,9,-8,,OFF 15,INT 4,29,DEF 15,PI 9,19,-14,R
20,-2,OFF 5,2,,-6,6,24*,DEF 5,3*,10,20,R
21,1,7,6,B,INT -1,DEF 5,11*,43,12*,27,4,R
22,5,5,B*,,OFF 10,OFF 10,DEF 5X,25,QT,15,11,R
23,4,,B*,9*,BLACK,5,BLACK,OFF 10,QT,23,F - 7,R
24,,3,8,B,BLACK,BLACK,BLACK,48,11*,80,-12,L
25,5,4,9*,6,BLACK,BLACK,BLACK,46,14*,35,-7,L
26,F + 2,B*,,8,OFF 5,BLACK,BLACK,INT 26,OFF 5,14,-5,L
27,5,6,5,F + 3,,15,BLACK,INT 24,OFF 10,16,-6,L
28,6,8,3,OFF 10,12,INT 10,BLACK,47,PI 13,25,-4,L
29,OFF 10,OFF 15,1,-2,6,14,BLACK,BLACK,BLACK,17,-7,L
30,4,8,5,-1,8,11,12,BLACK,BLACK,13,-9,L
31,3,3,1,1,QT,6,19,BLACK,BLACK,12,F - 6,L
32,4,3,1,1,1,7,23,BLACK,BLACK,29,-13,L
33,4,4,1,5,3*,4,BLACK,BLACK,BLACK,18,-10,L
34,4,1,4,1,BLACK,BLACK,BLACK,QT,9,11,-9,L
35,4,2,1,1,BLACK,BLACK,BLACK,BLACK,17*,20,-11,L
36,4,5,5,7,9,7,BLACK,BLACK,4*,42,-1,L
37,4,1,7,6,8,QT,OFF 10,BLACK,9*,12,-14,L
38,OFF 5,OFF 10,OFF 5,OFF 5,28,OFF 5,OFF 5,BLACK,16*,14,14,L
39,DEF 5,DEF 15,DEF 5,DEF 5,3,PI 7,INT 13,QT,5,17,F,L
