,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,FBO      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,1,1,1,(0),(3),,(10),,,special team,51,14,49,13,11,18,10,,1,1,1,1,,,,,,,,
,,2,1,1,1,(0),,(10),(10),(11),,,53,30,70,14,OFF 15,DEF 5,11,,1,1,1,1,,,,,,,,
,,3,1,1,1,(1),,,(10),,(2),,60,4,OFF 5,4,,OFF 5,12,,1,1,1,1,,,,,,,,
,Standard,4,,(1),,,,,,INT 27,,,50,21,18*,,2,20,13,,1,1,1,1,,,,,,,,
,,5,,,,,,,,(21),,,68,OFF 15,46,2,DEF 15,27,14,,1,1,1,1,,,,,,,,
,B,1,(0),(0),5,(0),(0),,,,,,62,26,43,OFF 15,22,20,15,,1,1,1,1,,,,,,,,
,,2,(1),(0),5,(0),,,(17),,,,52,7,DEF 5,,,18,16,,1,1,1,1,,,,,,,,
,,3,(3),(1),5,,,,(17),-2,(37),,OB,35,17*,18,6,DEF 5X,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,,,5,,-2,-2,,,,,72,29,55,9,5,26,18,,1,1,1,1,,,,,,,,
,,5,,,,,,,[TD],[TD],,,54,1,54,5,OFF 15,19,19,,1,1,1,1,,,,,,,,
,C,1,1,1,-3,1,-7,,,,(10),,60,9,38,4,5,18,20,,1,1,1,1,,,,,,,,
,,2,1,1,-4,1,(0),,,14,(10),,70,13,47,2,14,23,21,,1,1,1,1,,,,,,,,
,,3,1,1,-5,(5),,,(8),,(4),,55,OFF 15,DEF 5X,5,27,19,22,,1,1,1,1,,,,,,,,
,Spread,4,(7),(1),-8,,,,[TD],INT 39,,,56,F + 19,38*,7,,18,23,,1,1,1,1,,,,,,,,
,,5,,,,8,,,,[TD],,,55,19,40,,3,20,24,,1,1,1,1,,,,,,,,
,D,1,6,6,6,6,-8,(0),,,,,58,20,52,1,2,19,25,,1,1,1,1,,,,,,,,
,,2,1,1,1,1,(0),-1,,(21),(8),,59,11,33*,11,27,18,26,,1,1,1,1,,,,,,,,
,,3,1,3,1,1,,,-2,,,,66,12,45,90,22,27,27,,1,1,1,1,,,,,,,,
,Short Pass,4,(8),,,5,,,,,,,52,F,51,16,TD,18,28,,1,1,1,1,,,,,,,,
,,5,2,,,1,,QT,INT 16,,QT,,69,25,46,12,,22,29,,1,1,1,1,,,,,,,,
,E,1,6,6,6,6,,,,,(10),,74,15,28*,28,15,30,30,,1,1,1,1,,,,,,,,
,,2,1,1,1,1,,,,,,,60,27,31*,DEF 15,35,29,31,,1,1,1,1,,,,,,,,
,,3,1,1,1,1,(15),,-2,INT 41,,,61,24,53,3,8,31,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,3,(18),,,INT 20,(27),,64,17,41,1,,24,33,,1,1,1,1,,,,,,,,
,,5,,,,3,(16),,,,,,57,16,40,3,46,25,34,,1,1,1,1,,,,,,,,
,F,1,1,(-2),1,1,[TD],,,QT,,,64,18,35*,6,5,21,35,,1,1,1,1,,,,,,,,
,,2,(2),,1,,,,(8),,(12),,58,23,48,8,,18,36,,1,1,1,1,,,,,,,,
,,3,1,,1,,-2,QT,QT,-22,QT,,50,21,42,10,35,28,37,,1,1,1,1,,,,,,,,
,Blitz,4,,,6,4,,,,QT,,,53,DEF 15,50,F + 3,OFF 15,18,38,,1,1,1,1,,,,,,,,
,,5,13,,(16),12,INT -6,,-20,(22),[TD],,54,57,BK -8,15,12,BK -15,39,,-4,1,1,1,,,,,,,,
,"Record: 8-8-0, Finished 2nd in NFC Central Division...W 41-38 at Houston Oilers (OT); L 25-21 vs Pittsburgh Steelers; W 27-24 vs Los Angeles Rams at Milwaukee, WI; L 27-3 at New York Giants; W 55-14 vs Tampa Bay Buccaneers;  L 38-14 at Detroit Lions; W 48-47 vs Washington Redskins; L 20-17 vs Minnesota Vikings (OT); L 34-14 at Cincinnati Bengals; W 35-21 vs Cleveland Browns at Milwaukee, WI; W 29-21 at Minnesota Vikings; L 23-20 vs Detroit Lions (OT) at Milwaukee, WI; L 47-41 at Atlanta Falcons (OT); W 31-28 vs Chicago Bears;W 12-9 at Tampa Bay Buccaneers (OT); L 23-21 at Chicago Bears.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,1%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,94%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,94%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,94%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,94%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,61%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,31%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,8%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,0%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,2%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,3%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
