#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 10,9,OFF 15,OFF 10,32,PI 6,OFF 5,47*,TD,20,-10,R
11,5,-2,9*,5,BLACK,22,INT 11,30,OFF 10,17,2,R
12,OFF 5,5,6,B,5,BLACK,19,PI 30,41,42,4,R
13,5,9,-1,6,INT -5,OFF 10,DEF 5X,QT*,1*,15,-6,R
14,9,-3,DEF 5,-2,-3,-1,15,DEF 5X,23,10,-11,R
15,3,8,F - 4,8,F + 4,INT 7,18*,TD,15,13,-12,R
16,7,OFF 5,-3,9,9,4,13,37*,33,15,-8,R
17,5,5,10,OFF 5,4,19,INT 14,33*,47,24,-14,R
18,5,5,OFF 10,7,TD,DEF 15,DEF 15,DEF 15,DEF 15,18,-8,R
19,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,OFF 15,OFF 15,PI 50,OFF 15,13,-9,R
20,-2,9,5,3,10,21,12,24,6,13,-7,R
21,DEF 5,7,5,,17,F + 5,16*,TD,PI 15,14,-13,R
22,5,5,4,F - 1,18,14,14,31,12,17,-10,R
23,-1,6,8,DEF 5,3,8,11,INT 21,4*,11,-9,R
24,4,2,B*,5,10*,6,17,20*,16,10,-5,R
25,B,,3*,4,4,3,11*,27,7*,11,-8,R
26,2,F - 1,4,8,-1,11,9,OFF 10,13,18,-5,R
27,6,DEF 5,5,1,8,1,10,42*,INT 3,19,-3,R
28,F,5,OFF 5,9,28*,7,14,34,DEF 5X,20,2,R
29,5,OFF 10,5,2,OFF 5,23,16,26*,-1*,42,11,R
30,,5,5*,5,OFF 10,17,INT 18,BLACK,26,25*,-2,L
31,8,5,6,5,21*,10,13,BLACK,10,10,1,L
32,7,7,B,1*,9,9,12,BLACK,19,21,-7,L
33,5,4,5*,B,-6,5,14*,BLACK,BLACK,10,-13,L
34,6,3,2,4,BLACK,5,BLACK,BLACK,BLACK,11*,-9,L
35,4,B,1*,-3,BLACK,BLACK,BLACK,BLACK,BLACK,16,F - 6,L
36,1,5,,5,6,BLACK,BLACK,QT,BLACK,12,-7,L
37,3,5,7,5,14,BLACK,QT,25,QT,10,-4,L
38,4,5,B,9,3,DEF 5X,OFF 10,OFF 5,F + 10,71,-4,L
39,5,1,6,5,16,OFF 5,PI 14,32,PI 10,24,-1,L
