#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,51,14,49,13,11,18,NG
11,53,30,70,14,OFF 15,DEF 5,
12,60,4,OFF 5,4,,OFF 5,
13,50,21,18*,,2,20,
14,68,OFF 15,46,2,DEF 15,27,
15,62,26,43,OFF 15,22,20,
16,52,7,DEF 5,,,18,
17,OB,35,17*,18,6,DEF 5X,
18,72,29,55,9,5,26,
19,54,1,54,5,OFF 15,19,
20,60,9,38,4,5,18,
21,70,13,47,2,14,23,
22,55,OFF 15,DEF 5X,5,27,19,
23,56,F + 19,38*,7,,18,
24,55,19,40,,3,20,
25,58,20,52,1,2,19,
26,59,11,33*,11,27,18,
27,66,12,45,90,22,27,
28,52,F,51,16,TD,18,
29,69,25,46,12,,22,
30,74,15,28*,28,15,30,
31,60,27,31*,DEF 15,35,29,
32,61,24,53,3,8,31,
33,64,17,41,1,,24,
34,57,16,40,3,46,25,
35,64,18,35*,6,5,21,
36,58,23,48,8,,18,
37,50,21,42,10,35,28,
38,53,DEF 15,50,F + 3,OFF 15,18,
39,54,57,BK -8,15,12,BK -15,
