,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,,,,,,,,,,special team,66,22,DEF 5,16,OFF 15,12,10,,1,1,1,1,,,
,,2,(5),,,(1),-3,(4),,,,,64,14,51,11,OFF 15,6,11,,1,1,1,1,,,
,,3,(10),,,,-1,,,-20,,,60,24,DEF 5X,31,OFF 15,5,12,,1,1,1,1,,,
,Standard,4,,(10),,,-4,(0),1,-20,-10,,OB,13,OFF 10,8,OFF 15,17,13,,1,1,1,1,,,
,,5,,,,,,2,1,INT 32,,,64,10,34*,9,DEF 15,10,14,,1,1,1,1,,,
,B,1,(1),(1),,-1,,,1,1,,,68,16,38*,5,3,31,15,,1,1,1,1,,,
,,2,(1),-2,,-1,-7,,1,1,,,70,1,30*,1,1,15,16,,1,1,1,1,,,
,,3,(1),(1),,-1,,-2,-2,-2,-2,,60,17,50,3,OFF 15,7,17,,1,1,1,1,,,
,Short Ydg,4,,,,,2,,,,1,,64,34,57,,OFF 15,BK -10,18,,-4,1,1,1,,,
,,5,,,(3),,,,,1,1,,63,53,63,14,36,OFF 10,19,,1,1,1,1,,,
,C,1,(5),,-6,,,,,,,,44,33,33*,20,4,OFF 5,20,,1,1,1,1,,,
,,2,,,-6,,-1,,,,-10,,63,18,35*,2,26,DEF 5X,21,,1,1,1,1,,,
,,3,,,(1),(10),-4,,,,,,55,F + 20,48,6,5,19,22,,1,1,1,1,,,
,Spread,4,,,,,-4,(0),,,-10,,66,25,OFF 5,3,,14,23,,1,1,1,1,,,
,,5,,(2),,,,,1,INT 41,,,50,26,40*,4,,5,24,,1,1,1,1,,,
,D,1,,-1,,,,(2),,,,,53,6,44,F - 1,6,13,25,,1,1,1,1,,,
,,2,,-1,,(9),-2,,,,,,51,32,49,OFF 15,1,BK -5,26,,-4,1,1,1,,,
,,3,(10),-1,,,,,,-20,,,64,20,36*,5,,20,27,,1,1,1,1,,,
,Short Pass,4,,,,1,,,-10,-20,,,69,30,55*,55,,OFF 10,28,,1,1,1,1,,,
,,5,,,,,(-2),(0),,INT 39,,,59,27,70,,17,8,29,,1,1,1,1,,,
,E,1,,,,,1,,,-20,,,61,17,61,6,,16,30,,1,1,1,1,,,
,,2,,,,,5,(6),,,-3,,46,OFF 15,43,26,F + 4,14,31,,1,1,1,1,,,
,,3,,,,(11),3,,-10,,,,OB,21,32*,10,,9,32,,1,1,1,1,,,
,Long Pass,4,,,,(10),3,,-10,INT 24,,,58,OFF 15,45,OFF 15,2,13,33,,1,1,1,1,,,
,,5,,,,,2,,,-20,,,52,22,41*,7,46,11,34,,1,1,1,1,,,
,F,1,(1),,,-5,1,,,-20,(12),,56,12,56,4,39,26,35,,1,1,1,1,,,
,,2,,-3,,,5,,,QT,,,48,23,42*,12,36,7,36,,1,1,1,1,,,
,,3,,,(10),,4,(12),QT,,QT,,60,29,46,OFF 15,33,18,37,,1,1,1,1,,,
,Blitz,4,,,,-3,2,(12),-10,1,-10,,68,28,52,17,27,22,38,,1,1,1,1,,,
,,5,,,,,14,,INT 14,1,-10,,70,19,60,13,16,DEF 5,39,,1,1,1,1,,,
,"Record: 8-8-0, Finished 2nd in AFC East Division...L 29-23 vs Baltimore Colts (OT); L 34-24 at Miami Dolphins; W 23-13 vs New York Jets;  W 28-23 at Pittsburgh Steelers;  L 33-13 vs San Francisco 49ers;  L 12-7 at Baltimore Colts; W 37-21 vs San Diego Chargers; W 31-0 at Buffalo Bills;  L 24-13 at Atlanta Falcons;  W 21-7 vs Buffalo Bills;  Nov 13 W 17-6 vs Miami Dolphins; Nov 20 L 30-0 vs Cleveland Browns;  Nov 27 L 26-3 at New York Jets; W 7-0 vs New Orleans Saints;  W 21-7 at Los Angeles Rams; L 24-6 at Seattle Seahawks.  

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,5%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,87%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,87%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,65%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,31%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,17%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,11%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,3%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,0%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1
