#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1
A-2,A,2,5,,,1,-3,4
A-3,A,3,10,,,,-1,,BLACK,-20
A-4,A,4,,10,,,-4,,1,-20,-10
A-5,A,5,,,,,BLACK,2,1,INT 32,BLACK
B-1,B,1,1,1,,-1,,,1,1
B-2,B,2,1,-2,,-1,-7,,1,1
B-3,B,3,1,1,,-1,,-2,-2,-2,-2
B-4,B,4,,,,,2,,,,1
B-5,B,5,,,3,,,,,1,1
C-1,C,1,5,,-6,,,,,,BLACK
C-2,C,2,,,-6,,-1,BLACK,,,-10
C-3,C,3,,,1,10,-4
C-4,C,4,,,,,-4,,,BLACK,-10
C-5,C,5,,2,,,BLACK,,1,INT 41
D-1,D,1,,-1,,,,2
D-2,D,2,,-1,,9,-2,,BLACK
D-3,D,3,10,-1,,,,,,-20,BLACK
D-4,D,4,,,,1,,BLACK,-10,-20,BLACK
D-5,D,5,,,,,(-2),,BLACK,INT 39,BLACK
E-1,E,1,,,,,1,,,-20
E-2,E,2,,,,,5,6,,,-3
E-3,E,3,,,,11,3,,-10,BLACK,BLACK
E-4,E,4,,,,10,3,,-10,INT 24,BLACK
E-5,E,5,,,,,2,,,-20
F-1,F,1,1,,,-5,1,,,-20,12
F-2,F,2,,-3,,,5,,,QT
F-3,F,3,,,10,,4,12,QT,,QT
F-4,F,4,,,,-3,2,12,-10,1,-10
F-5,F,5,,,,,14,,INT 14,1,-10
