#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,5,6,OFF 5,5,DEF 5,OFF 15,17,DEF 5,DEF 5X,14,-1,R
11,4,OFF 5,3*,6,17,DEF 5,14,47,26*,13,17,R
12,4,9,2*,5,16,OFF 5,13,OFF 5,OFF 10,14,12,R
13,-1,F,F + 1,F,INT -1,10,10,QT*,8,39,11,R
14,7,OFF 10,-4,3,F,7,19,QT,16,50,7,R
15,4,9,2,5,7,10,10,QT,21,25,6,R
16,5,6,5*,9*,8,9,PI 16,29,2,14,-14,R
17,5,-3,8*,OFF 5,23,5,15,21,29,13,-10,R
18,5,8,7*,DEF 15,OFF 5,4,DEF 5,DEF 5X,47,14,-11,R
19,DEF 15,DEF 15,OFF 10,2,DEF 15,PI 5,DEF 15,PI 24,PI 15,16,-7,R
20,9,8,DEF 5X,4,18,DEF 5X,15,32,BLACK,14,-2,R
21,1,7,DEF 5,4,3,13,11,25,BLACK,19,-12,R
22,9,5,8,B*,13*,INT 8,DEF 5X,TD,BLACK,31,-4,R
23,B,-1,4,,OFF 10,8,F + 12,20*,F + 15,14,-5,R
24,5,B,7,-3,QT,6,12,OFF 10,BLACK,10,-9,R
25,8,4,3,1,10*,QT,14,22*,BLACK,16,-6,R
26,DEF 5,3,-2,5,5,OFF 10,OFF 10,QT,18*,15,-11,R
27,2,6,6,6,,10,18,40,23,55,-3,R
28,-2,1,6,3,20,7,12,43,INT 13,18,F - 10,R
29,-3,5,DEF 15,DEF 5,OFF 15,DEF 15,OFF 5,DEF 5,OFF 5,11,-13,R
30,6,2,-3,9,9,11,16,INT 39,BLACK,28,4,R
31,3,DEF 5,1,7,1,8,17,BLACK,BLACK,11,,R
32,6,8,-1,8,BLACK,7,14,BLACK,QT,12,-9,L
33,5,B*,,B,6*,BLACK,BLACK,QT,BLACK,11,-7,L
34,4,4,9,-2,-3,6,BLACK,BLACK,BLACK,13,-8,L
35,3,,B*,-1,-8,8,BLACK,BLACK,BLACK,20,F - 9,L
36,,5,B,2,14*,12,QT,BLACK,BLACK,12,14,L
37,F,-2,*,B,11,7,INT 15,BLACK,BLACK,23,5,L
38,OFF 5,DEF 5,OFF 15,OFF 10,12,8,13,BLACK,BLACK,77,9,L
39,6,8*,F - 4,5,19,F + 7,14,BLACK,DEF 5,13,-10,L
