#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,66,22,DEF 5,16,OFF 15,12,
11,64,14,51,11,OFF 15,6,
12,60,24,DEF 5X,31,OFF 15,5,
13,OB,13,OFF 10,8,OFF 15,17,
14,64,10,34*,9,DEF 15,10,
15,68,16,38*,5,3,31,
16,70,1,30*,1,1,15,
17,60,17,50,3,OFF 15,7,
18,64,34,57,,OFF 15,BK -10,
19,63,53,63,14,36,OFF 10,
20,44,33,33*,20,4,OFF 5,
21,63,18,35*,2,26,DEF 5X,
22,55,F + 20,48,6,5,19,
23,66,25,OFF 5,3,,14,
24,50,26,40*,4,,5,
25,53,6,44,F - 1,6,13,
26,51,32,49,OFF 15,1,BK -5,
27,64,20,36*,5,,20,
28,69,30,55*,55,,OFF 10,
29,59,27,70,,17,8,
30,61,17,61,6,,16,
31,46,OFF 15,43,26,F + 4,14,
32,OB,21,32*,10,,9,
33,58,OFF 15,45,OFF 15,2,13,
34,52,22,41*,7,46,11,
35,56,12,56,4,39,26,
36,48,23,42*,12,36,7,
37,60,29,46,OFF 15,33,18,
38,68,28,52,17,27,22,
39,70,19,60,13,16,DEF 5,
