,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W/FBO,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,-1,,(0),,,,,,special team,55,29,60,OFF 15,DEF 15,F - 8,10,,1,1,1,-4,,,,,,,,
,,2,4,,,(0),-10,,,(10),,,57,23,47,35,1,OFF 5,11,,1,1,1,1,,,,,,,,
,,3,,,-2,,,-4,,(10),,,65,25,54,36,-6,OFF 10,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,,(0),-4,INT 14,,INT 4,,OB,27,55,F + 5,2,32,13,,1,1,1,1,,,,,,,,
,,5,,,,,,,(29),-2,,,50,48,F - 13,F,29,9,14,,1,1,1,1,,,,,,,,
,B,1,(0),(0),(4),(-2),,,,,,,70,42,56*,6,21,16,15,,1,1,1,1,,,,,,,,
,,2,(1),(0),,(0),,,,,,,56,29,53,16,15,8,16,,1,1,1,1,,,,,,,,
,,3,,,,,,1,-2,-2,-2,,68,16,OFF 10,21,2,BK -41,17,,-4,1,1,1,,,,,,,,
,Short Ydg,4,,,,,-14,,(50),,,,69,32,67,DEF 15,,19,18,,1,1,1,1,,,,,,,,
,,5,,,,,2,10,(32),[TD],[TD],,71,29,48,26,9,18, 19,,1,1,1,1,,,,,,,,
,C,1,,(0),(0),,,,,(10),,,59,26,39,34,OFF 15,DEF 5X,20,,1,1,1,1,,,,,,,,
,,2,4,,(1),,,(0),(9),(10),,,63,20,DEF 5,11,44,21,21,,1,1,1,1,,,,,,,,
,,3,,,,(0),,,,,(4),,60,OFF 15,36,,14,23,22,,1,1,1,1,,,,,,,,
,Spread,4,,,,,-6,-6,,,,,61,F,OFF 5,14,10,27,23,,1,1,1,1,,,,,,,,
,,5,,,,,-2,,(25),(30),,,62,F + 10,38,12,13,24,24,,1,1,1,1,,,,,,,,
,D,1,,4,,,(-3),,,-2,,,72,16,44,9,8,34,25,,1,1,1,1,,,,,,,,
,,2,4,,4,,,,,,,,71,29,43,2,40,17,26,,1,1,1,1,,,,,,,,
,,3,,,,,,,,,(6),,58,17,35*,1,,10,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,,-3,-2,INT 16,2,INT 14,,59,13,45,28,,22,28,,1,1,1,1,,,,,,,,
,,5,,,,,,,(16),,(21),,67,DEF 15,58*,35,18,15, 29,,1,1,1,1,,,,,,,,
,E,1,,,,,(-1),,,,,,73,14,28*,3,,12,30,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,74,18,42,6,12,35,31,,1,1,1,1,,,,,,,,
,,3,,,,,,,,,(7),,54,24,51,4,3,26,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,INT -7,-2,-2,,,,66,22,49*,7,5,30,33,,1,1,1,1,,,,,,,,
,,5,,,,4,,3,(16),QT,2,,75,21,40*,8,28,22,34,,1,1,1,1,,,,,,,,
,F,1,(0),(0),(-3),(-3),-2,-2,QT,QT,QT,,64,28,39*,5,OFF 15,28,35,,1,1,1,1,,,,,,,,
,,2,,,,,,,QT,QT,QT,,52,32,27*,10,OFF 15,25,36,,1,1,1,1,,,,,,,,
,,3,,,4,,,,,,,,51,29,37,13,1,20,37,,1,1,1,1,,,,,,,,
,Blitz,4,,,4,4,[TD],,,QT,,,53,15,DEF 5X,OFF 15,,7,38,,1,1,1,1,,,,,,,,
,,5,,,-11,,[TD],[TD],[TD],[TD],[TD],,DEF 5,19,46,97,,DEF 5,39,,1,1,1,1,,,,,,,,
,"Record: 12-4-0, Finished 1st in AFC West Division….1983 Super Bowl Champions... W 21-10 at Cincinnati Bengals; W 20-6 vs Houston Oilers; W 27-14 vs Miami Dolphins; W 22-7 at Denver Broncos; L 37-35 at Washington Redskins; W 21-20 vs Kansas City Chiefs; L 38-36 at Seattle Seahawks; W 40-38 at Dallas Cowboys; L 34-21 vs Seattle Seahawks; W 28-20 at Kansas City Chiefs; W 22-20 vs Denver Broncos; W 27-24 at Buffalo Bills; W 27-12 vs New York Giants; W 42-10 at San Diego Chargers;  L 34-24 vs St. Louis Cardinals; W 30-14 vs San Diego Chargers; Divisional Playoffs  Jan 1 W 38-10 vs Pittsburgh Steelers; Conference Championship W 30-14 vs Seattle Seahawks; Superbowl  W 38-9 vs Washington Redskins at Tampa, FL...
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,2%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,91%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,91%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,84%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,78%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,69%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,43%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,19%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,4%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,3%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,3%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,3%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,2%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,3%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,3%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,12,,,,,,,,,,,,,
