#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,-1,,(0),,,BLACK,,
A-2,A,2,4,,,(0),-10,,,(10),BLACK
A-3,A,3,,,-2,,,-4,,(10),
A-4,A,4,,,,,(0),-4,INT 14,,INT 4
A-5,A,5,,,,,,,(29),-2,
B-1,B,1,(0),(0),(4),(-2),,,,,
B-2,B,2,(1),(0),,(0),,,,,
B-3,B,3,,,,,,1,-2,-2,-2
B-4,B,4,,,,,-14,,(50),,
B-5,B,5,,,,,2,10,(32),[TD],[TD]
C-1,C,1,,(0),(0),,BLACK,,,(10),
C-2,C,2,4,,(1),,,(0),(9),(10),BLACK
C-3,C,3,,,,(0),,,BLACK,,(4)
C-4,C,4,,,,,-6,-6,,,
C-5,C,5,,,,,-2,,(25),(30),
D-1,D,1,,4,,,(-3),,BLACK,-2,
D-2,D,2,4,,4,,,BLACK,BLACK,,
D-3,D,3,,,,,,BLACK,,,(6)
D-4,D,4,,,,,-3,-2,INT 16,2,INT 14
D-5,D,5,,,,,,,(16),,(21)
E-1,E,1,,,,,(-1),,BLACK,BLACK,
E-2,E,2,,,,,,,,BLACK,BLACK
E-3,E,3,,,,,,,,BLACK,(7)
E-4,E,4,,,,,INT -7,-2,-2,BLACK,
E-5,E,5,,,,4,,3,(16),QT,2
F-1,F,1,(0),(0),(-3),(-3),-2,-2,QT,QT,QT
F-2,F,2,,,,,,,QT,QT,QT
F-3,F,3,,,4,,,,,,
F-4,F,4,,,4,4,[TD],,,QT,
F-5,F,5,,,-11,,[TD],[TD],[TD],[TD],[TD]
