#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 10,OFF 10,OFF 10,OFF 10,DEF 5X,10,13,99,23,17,-12,R
11,5,5,9,4,22,PI 11,18,DEF 5,3,19,23,R
12,4,F + 2,B,-3,DEF 5,DEF 5X,10,QT,21,18,18,R
13,DEF 5,7,OFF 15,7,F + 2,INT 9,13,DEF 5X,19,15,15,R
14,OFF 5,8,3,5,OFF 5,9,PI 11,QT,6*,20,9,R
15,7,-2,2,5,10*,5,OFF 5,PI 38,7*,21,10,R
16,-3,DEF 5,5*,F + 1,-6,DEF 5,QT*,QT,BLACK,21,-12,R
17,6,4,4,3,37,7,BLACK,INT 43,25,13,20,R
18,DEF 5X,DEF 15,OFF 15,OFF 15,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,12,-9,R
19,OFF 15,OFF 15,-10,F,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,11,-14,R
20,F - 1,9,DEF 5,6,15,F + 3,DEF 5,54,22,14,-8,R
21,8,1,7,-2,3,OFF 5,F + 13,31*,PI 12,39,-5,R
22,2,4,5,-1,-1*,6,13,21,18,17,-6,R
23,4,OFF 5,3,1,12,12,INT 14,24,17*,11,-13,R
24,4,2,,B,-4,OFF 10,BLACK,OFF 10,13*,20,-3,R
25,1,9,8,8,6,6,OFF 10,TD,12,23,F - 11,R
26,4,,9,5,14,11,15,QT*,DEF 5X,32,-5,R
27,6,-1,6,7,11,4,21,32*,OFF 5,15,-10,R
28,-2,3,F,DEF 5,INT -1,13,12,33,DEF 5,19,-2,L
29,DEF 15,DEF 5X,DEF 15,DEF 5X,31,8,29,50,30,11,-1,L
30,6,3,OFF 5,2,9,9,13,F + 26,5*,43,-9,L
31,9,5,5*,4,QT,12,BLACK,BLACK,QT,12,-11,L
32,5,B*,-1,6,OFF 10,7,BLACK,BLACK,QT,14,-4,L
33,8,6,B,9,8*,9,BLACK,BLACK,BLACK,10,F - 9,L
34,5,4,-3,,4*,BLACK,BLACK,BLACK,BLACK,19,-14,L
35,3,2,-2,3,BLACK,BLACK,BLACK,BLACK,BLACK,13,7,L
36,,3,B*,5,,9,BLACK,BLACK,BLACK,18,-7,L
37,-1,7,7*,5,7*,QT,DEF 5X,QT*,OFF 10,16,5,L
38,6,5,1,OFF 5,2,5,24,OFF 5,F + 9,74,12,L
39,B,3,F - 4,3,18,5,13,QT,INT 17,11,-8,L
