#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,55,29,60,OFF 15,DEF 15,F - 8,
11,57,23,47,35,1,OFF 5,
12,65,25,54,36,-6,OFF 10,
13,OB,27,55,F + 5,2,32,
14,50,48,F - 13,F,29,9,
15,70,42,56*,6,21,16,
16,56,29,53,16,15,8,
17,68,16,OFF 10,21,2,BK -41,
18,69,32,67,DEF 15,,19,
20,59,26,39,34,OFF 15,DEF 5X,
21,63,20,DEF 5,11,44,21,
22,60,OFF 15,36,,14,23,
23,61,F,OFF 5,14,10,27,
24,62,F + 10,38,12,13,24,
25,72,16,44,9,8,34,
26,71,29,43,2,40,17,
27,58,17,35*,1,,10,
28,59,13,45,28,,22,
30,73,14,28*,3,,12,
31,74,18,42,6,12,35,
32,54,24,51,4,3,26,
33,66,22,49*,7,5,30,
34,75,21,40*,8,28,22,
35,64,28,39*,5,OFF 15,28,
36,52,32,27*,10,OFF 15,25,
37,51,29,37,13,1,20,
38,53,15,DEF 5X,OFF 15,,7,
39,DEF 5,19,46,97,,DEF 5,
