,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,1,1,1,(3),,,,,,special team,63,44,BK -13,,F,11,10,,1,1,1,1,,,
,,2,,,,(4),,(6),,,,,56,15,28*,1,29,23,11,,1,1,1,1,,,
,,3,,,,,,,,(15),(14),,58,F + 25,48,15,1,26,12,,1,1,1,1,,,
,Standard,4,,,,,,,,INT 26,,,63,F + 11,60,4,5,10,13,,1,1,1,1,,,
,,5,,,,,,,,(34),,,51,24,40*,,OFF 15,OFF 5,14,,1,1,1,1,,,
,B,1,(0),(0),,(0),,,10,,(18),,67,9,34*,12,8,DEF 5,15,,1,1,1,1,,,
,,2,(0),(0),,(-1),,,(15),(18),,,56,15,32*,5,OFF 15,DEF 5X,16,,1,1,1,1,,,
,,3,(1),(0),,,(0),(7),,(22),(0),,58,18,49,,43,OFF 10,17,,1,1,1,1,,,
,Short Ydg,4,(1),(-1),,,,,,(29),,,66,25,38,,,10,18,,1,1,1,1,,,
,,5,(1),(-2),(1),,QT,,(31),[TD],,,70,12,36,,TD,DEF 15,19,,1,1,1,1,,,
,C,1,,,(0),2,,,,(10),,,69,17,31*,20,,F - 8,20,,1,1,1,-4,,,
,,2,,,(1),1,,,,(12),(4),,57,30,45,13,7,30,21,,1,1,1,1,,,
,,3,,,(1),,(-5),(7),,,,,61,37,46,F + 15,94,35,22,,1,1,1,1,,,
,Spread,4,1,,,,,,,[TD],,,51,,41,9,DEF 15,15,23,,1,1,1,1,,,
,,5,,,,,,,,(45),,,53,21,35*,11,22,BK -9,24,,-4,1,1,1,,,
,D,1,1,1,1,3,,,,,,,64,DEF 15,OFF 5,DEF 15,4,BK -14,25,,-4,1,1,1,,,
,,2,1,1,1,,,(5),,,,,50,OFF 15,DEF 5,OFF 15,58,10,26,,1,1,1,1,,,
,,3,1,1,1,,(-5),,,(15),(35),,57,OFF 15,DEF 5X,OFF 15,9,34,27,,1,1,1,1,,,
,Short Pass,4,,,,,,,,INT 23,,,65,11,OFF 10,72,,28,28,,1,1,1,1,,,
,,5,,5,,,,,INT 3,(26),INT 20,,68,38,30,41,,8,29,,1,1,1,1,,,
,E,1,1,1,1,5,,,,,,,52,30,39*,4,19,32,30,,1,1,1,1,,,
,,2,1,1,1,,1,,,,,,57,23,38*,22,8,13,31,,1,1,1,1,,,
,,3,1,1,1,,,(8),,,,,55,19,42,3,17,16,32,,1,1,1,1,,,
,Long Pass,4,,,,,,,,INT 32,,,53,22,37*,6,TD,19,33,,1,1,1,1,,,
,,5,,(1),,(1),,,,INT 21,,,57,12,25*,12,,25,34,,1,1,1,1,,,
,F,1,(-1),,(10),,,(0),,QT,(12),,60,13,36,,,31,35,,1,1,1,1,,,
,,2,,(-1),,,,,QT,(14),,,63,20,44,17,31,15,36,,1,1,1,1,,,
,,3,,,(4),,,,,(21),,,OB,31,55,10,15,14,37,,1,1,1,1,,,
,Blitz,4,,,,(-3),[TD],,,INT 40,,,55,24,33*,13,60,27,38,,1,1,1,1,,,
,,5,,,-18,,[TD],[TD],[TD],[TD],[TD],,67,43,67,26,45,24,39,,1,1,1,1,,,
,"Record: 9-7-0, Finished 2nd in NFC West Division... W 16-6 at New York Giants;  W 30-27 vs New Orleans Saints; L 27-24 at Green Bay Packers at Milwaukee, WI; 
L 27-24 at New York Jets (OT); W 21-10 vs Detroit Lions; W 10-7 at San Francisco 49ers; W 27-21 vs Atlanta Falcons; L 45-35 vs San Francisco 49ers; L 30-14 at Miami Dolphins; W 21-14 vs Chicago Bears; W 36-13 at Atlanta Falcons; L 42-20 vs Washington Redskins; W 41-17 vs Buffalo Bills;L 13-9 at Philadelphia Eagles; L 21-7 vs New England Patriots; W 26-24 at New Orleans Saints; Post Season...Wild Card Playoffs... W 24-17 at Dallas Cowboys; Divisional Playoffs  Jan 1 L 51-7 at Washington Redskins.  

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,13%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,78%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,78%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,77%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,61%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,38%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,35%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,20%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,4%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,1%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,7%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,1%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,10%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,11%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,
