#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1.0,1.0,1.0,3.0,,,BLACK,BLACK
A-2,A,2,,,,4.0,BLACK,6.0
A-3,A,3,,,,,,BLACK,,15.0,14.0
A-4,A,4,,,,,,,,INT 26
A-5,A,5,,,,,,,,34.0
B-1,B,1,,,,,,,10.0,,18.0
B-2,B,2,,,,(-1),,,15.0,18.0
B-3,B,3,1.0,,,,,7.0,,22.0
B-4,B,4,1.0,(-1),,,,,,29.0
B-5,B,5,1.0,(-2),1.0,,QT,,31.0,[TD]
C-1,C,1,,,,2.0,,,,10.0
C-2,C,2,,,1.0,1.0,,,,12.0,4.0
C-3,C,3,,,1.0,,(-5),7.0,BLACK,BLACK,BLACK
C-4,C,4,1.0,,,,,,,[TD]
C-5,C,5,,,,,,,,45.0
D-1,D,1,1.0,1.0,1.0,3.0,,,BLACK
D-2,D,2,1.0,1.0,1.0,,,5.0,BLACK,BLACK
D-3,D,3,1.0,1.0,1.0,,(-5),BLACK,,15.0,35.0
D-4,D,4,,,,,,,,INT 23
D-5,D,5,,5.0,,,,,INT 3,26.0,INT 20
E-1,E,1,1.0,1.0,1.0,5.0,,,,BLACK
E-2,E,2,1.0,1.0,1.0,,1.0,,,BLACK
E-3,E,3,1.0,1.0,1.0,,,8.0,BLACK
E-4,E,4,,,,,,,,INT 32
E-5,E,5,,1.0,,1.0,,,,INT 21
F-1,F,1,(-1),,10.0,,,,,QT,12.0
F-2,F,2,,(-1),,,,,QT,14.0
F-3,F,3,,,4.0,,,,,21.0,BLACK
F-4,F,4,,,,(-3),[TD],,,INT 40
F-5,F,5,,,-18.0,,[TD],[TD],[TD],[TD],[TD]
