#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,63,44,BK -13,,F,11,
11,56,15,28*,1,29,23,
12,58,F + 25,48,15,1,26,NG
13,63,F + 11,60,4,5,10,NG
14,51,24,40*,,OFF 15,OFF 5,NG
15,67,9,34*,12,8,DEF 5,NG
16,56,15,32*,5,OFF 15,DEF 5X,
17,58,18,49,,43,OFF 10,
18,66,25,38,,,10,
19,70,12,36,,TD,DEF 15,
20,69,17,31*,20,,F - 8,
21,57,30,45,13,7,30,
22,61,37,46,F + 15,94,35,
23,51,,41,9,DEF 15,15,
24,53,21,35*,11,22,BK -9,
25,64,DEF 15,OFF 5,DEF 15,4,BK -14,
26,50,OFF 15,DEF 5,OFF 15,58,10,
27,57,OFF 15,DEF 5X,OFF 15,9,34,
28,65,11,OFF 10,72,,28,
29,68,38,30,41,,8,
30,52,30,39*,4,19,32,
31,57,23,38*,22,8,13,
32,55,19,42,3,17,16,
33,53,22,37*,6,TD,19,
34,57,12,25*,12,,25,
35,60,13,36,,,31,
36,63,20,44,17,31,15,
37,OB,31,55,10,15,14,
38,55,24,33*,13,60,27,
39,67,43,67,26,45,24,
