,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,(2),,,(1),,,,,(9),special team,61,45,DEF 5,-2,,OFF 5, 10,,1,1,1,1,,,,,,,,
,,2,(2),,,(1),3,3,,,,,63,DEF 15,OFF 10,F,7,32,11,,1,1,1,1,,,,,,,,
,,3,,(2),,(1),,,(4),,,,64,F + 21,DEF 5X,48,OFF 15,14,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,,,INT 7,,(33),10,,66,OFF 15,56,5,-1,16,13,,1,1,1,1,,,,,,,,
,,5,(1),,(1),,(-7),INT 5,(29),,,,72,OFF 15,54,21,39,OFF 10,14,,1,1,1,1,,,,,,,,
,B,1,(1),(1),,(1),,6,,,3,,OB,OFF 15,37,16,25,15,15,,1,1,1,1,,,,,,,,
,,2,(1),(1),,,8,6,(17),,,,64,26,53,42,6,18,16,,1,1,1,1,,,,,,,,
,,3,(1),(1),,,,6,,-2,,,64,41,OFF 5,35,4,13,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,(1),(1),,,,,,[TD],,,67,40,48,,TD,36,18,,1,1,1,1,,,,,,,,
,,5,(1),(1),(1),,INT -1,(0),,,1,,50,12,45,OFF 5,2,13,19,,1,1,1,1,,,,,,,,
,C,1,(2),,(1),,,,,,3,,64,13,29*,19,13,17,20,,1,1,1,1,,,,,,,,
,,2,(2),,(1),,4,,,,,,64,38,50,11,5,20,21,,1,1,1,1,,,,,,,,
,,3,,,(1),,,,(7),,,,68,23,44,8,72,22,22,,1,1,1,1,,,,,,,,
,Spread,4,,,(1),(2),(0),,,[TD],INT 15,,70,14,33*,3,15,24,23,,1,1,1,1,,,,,,,,
,,5,(1),,,(2),(-6),(0),,INT 25,INT 6,,57,27,35*,13,-1,27,24,,1,1,1,1,,,,,,,,
,D,1,(2),,,,,,,,3,,60,21,26*,OFF 15,30,26,25,,1,1,1,1,,,,,,,,
,,2,(2),,,,4,,(4),,,,62,30,52,OFF 15,20,23,26,,1,1,1,1,,,,,,,,
,,3,,,,(2),,,INT 15,,13,,54,37,39,23,23,12,27,,1,1,1,1,,,,,,,,
,Short Pass,4,(2),,,(2),(0),,(20),,,,64,15,46,18,29,19,28,,1,1,1,1,,,,,,,,
,,5,(1),,,,(-5),(0),,INT 30,-12,,72,50,15*,,8,38,29,,1,1,1,1,,,,,,,,
,E,1,,,,,,,,,3,,64,22,37*,12,2,21,30,,1,1,1,1,,,,,,,,
,,2,,,,,4,6,,,,,51,32,36*,-1,DEF 15,29,31,,1,1,1,1,,,,,,,,
,,3,,,,(2),(4),,(8),,(5),,58,16,41*,9,OFF 15,DEF 5X,32,,1,1,1,1,,,,,,,,
,Long Pass,4,(2),,,(2),,(0),,INT 26,,,53,23,38*,2,1,30,33,,1,1,1,1,,,,,,,,
,,5,(2),,,(2),(-2),(0),(20),(20),-7,,56,9,28*,7,26,34,34,,1,1,1,1,,,,,,,,
,F,1,-4,-3,,-4,,6,,,(19),,59,18,34*,4,14,12,35,,1,1,1,1,,,,,,,,
,,2,,,,(2),12,6,(15),,,,65,19,43,10,-1,25,36,,1,1,1,1,,,,,,,,
,,3,,,-5,,QT,QT,QT,QT,QT,,75,24,40,6,,28,37,,1,1,1,1,,,,,,,,
,Blitz,4,(2),,,(2),[TD],,,(46),,,64,20,45,-1,48,DEF 5,38,,1,1,1,1,,,,,,,,
,,5,(1),,(2),(2),,(0),,QT,QT,,DEF 5,35,BK -31,DEF 15,,BK -6, 39,,-4,1,1,1,,,,,,,,
,"Record: 14-2-0, Finished 1st in NFC East Division…L 31-30 vs Dallas Cowboys; W 23-13 at Philadelphia Eagles; W 27-12 vs Kansas City Chiefs; W 27-17 at Seattle Seahawks; W 37-35 vs Los Angeles Raiders; W 38-14 at St. Louis Cardinals; L 48-47 at Green Bay Packers; W 38-17 vs Detroit Lions; W 27-24 at San Diego Chargers; W 45-7 vs St. Louis Cardinals; W 33-17 at New York Giants; W 42-20 at Los Angeles Rams; W 28-24 vs Philadelphia Eagles; W 37-21 vs Atlanta Falcons; W 31-10 at Dallas Cowboys; W 31-22 vs New York Giants;  Post Season...Divisional Playoffs W 51-7 vs Los Angeles Rams; Conference Championship W 24-21 vs San Francisco 49ers; Superbowl L 38-9 vs. Los Angeles Raiders 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,1%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,87%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,87%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,87%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,72%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,61%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,44%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,19%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,2%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,8%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
