1983 Washington                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,5,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,PI 13,PI 37,OFF 15,,,19,48,10,,,,,,,,,,,,
,11,9*,8,9,B,DEF 15,9,QT*,30,-1,,,11,-2,11,,,,,,,,,,,,
,12,-2,9*,6,6,26,8,QT,21,5*,,Yardage factors: 100% / 80%,41,22,12,,,,,,,,,,,,
,13,OFF 10,-1,,B,14*,9,QT,26,22*,,,36,17,13,,,,,,,,,,,,
,14,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,,,16,13,14,,,,,,,,,,,,
,15,5,-2,F,3,10,2,DEF 5X,QT,21*,,,22,4,15,,,,,,,,,,,,
,16,5,-4,4*,F,23,2,20,39,18*,,,44,15,16,,,,,,,,,,,,
,17,5,7,-6,9*,34,7,11,22,QT,,,13,14,17,,,,,,,,,,,,
,18,B,2,-8,4,20,9,18,INT 26,8*,,,10,,18,,,,,,,,,,,,
,19,OFF 15,-3,-13,B*,67,QT,17,84,4*,,,17,F - 23,19,,,,,,,,,,,,
,20,OFF 5,5,-4,2,-6,F + 10,16,43,20*,,,37,12,20,,,,,,,,,,,,
,21,1,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,,Power rating: 229.5 ± 1.25,36,11,21,,,,,,,,,,,,
,22,5,5,7,B,QT,QT,QT,QT,QT,,,16,3,22,,,,,,,,,,,,
,23,4,4,-3,,3,7,11,,QT,,,18,-3,23,,,,,,,,,,,,
,24,2,2,-2,5,2,6,20,,15,,,15,10,24,,,,,,,,,,,,
,25,6,7,4,6,9,9,11,,15*,,,10,5,25,,,,,,,,,,,,
,26,2,6,3*,-2,7,7,10,20,21,,,17,-13,26,Fumble Recovered 10-26; Lost Ball 27-39,,,,,,,,,,,
,27,5,5,,3,,10,14,28,13*,,,31,7,27,,,,,,,,,,,,
,28,8,3,B,7,11,3,11,45,PI 15,,,48,8,28,,,,,,,,,,,,
,29,F,F,B*,5,INT -7,6,10,46,2*,,,13,1,29,,,,,,,,,,,,
,30,7,1,B,-3,-1,4,11,TD,7,,,26,-12,30,,,,,,,,,,,,
,31,4,4,*,7,1,6,17,,16,,,14,-11,31,,,,,,,,,,,,
,32,5,8,3,5,14,9,12,,12,,,11,6,32,,,,,,,,,,,,
,33,6,,1,6,,,,,,,,20,-9,33,,,,,,,,,,,,
,34,,5,B,-1,,,10,,,,,11,-8,34,,,,,,,,,,,,
,35,4,6,2,1,,,21,,,,,12,-7,35,,,,,,,,,,,,
,36,5,5,5,5,,,,,,,,15,-10,36,,,,,,,,,,,,
,37,3,B,-1,8,-4,DEF 5X,14,QT,,,,13,F - 1,37,,,,,,,,,,,,
