#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,5,8,4,4,1,13,8,INT 43,1,19,48,R
11,5,10,3,4,DEF 5X,7,12,38,PI 11,11,-2,R
12,2,F - 1,DEF 5,OFF 10,OFF 5,3,24,OFF 5,F + 5,41,22,R
13,1,OFF 5,4,2,2,OFF 5,OFF 5,TD,1,36,17,R
14,OFF 5,4,4,4,1,9,OFF 10,18,3*,16,13,R
15,,2,-10,3,INT -6,5,DEF 5X,22,5*,22,4,R
16,,1,F - 5,OFF 5,F - 1,4,11,DEF 5X,1,44,15,R
17,3,1,OFF 15,2,2,OFF 10,17,35*,QT,13,14,R
18,4,2,DEF 15,3,DEF 5,3,14*,OFF 15,1,10,,R
19,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,17,F - 23,R
20,-1,2,5,F - 1,1,3,12,31,QT,37,12,R
21,1,1,3,,2,4,13,QT,DEF 5X,36,11,R
22,DEF 5,1,OFF 5,1,3,,F + 15,QT,14,16,3,R
23,1,1,2,2,,2,INT 18,OFF 10,13,18,-3,R
24,2,2,B,2,3,4,11,INT 28,QT,15,10,R
25,,3*,2,1,1,2,QT,-2,R,10,5,
26,1,,,1,2,F + 10,15,QT*,1,17,-13,R
27,3,1,4,-1,2,3,QT,QT,OFF 10,31,7,R
28,F - 2,DEF 5,3,2,3,4,PI 15,31,1,48,8,R
29,2,DEF 15,OFF 10,DEF 15,1,2,11*,DEF 15,2,13,1,R
30,1,1,2,DEF 5,3,4,16,,4,26,-12,R
31,1,B,F,1,2,3,,,1,14,-11,R
32,2,1,1,,,,,,L,11,6,
33,B,2,1,2,,,,,,20,-9,L
34,1,3,B,,,,,39*,,11,-8,L
35,2,1,1,B,-2,,,,,12,-7,L
36,1,2,2,1,,,,,,15,-10,L
37,3,1,-1*,2,,3,,1,2,13,F - 1,L
38,2,2,3,1,2,4,,,3,23,-4,L
39,1,3,1,B,QT,PI 7,1,80,OFF 5,19,-1,L
