#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
11,63,DEF 15,OFF 10,F,7,32,
12,64,F + 21,DEF 5X,48,OFF 15,14,
13,66,OFF 15,56,5,-1,16,
14,72,OFF 15,54,21,39,OFF 10,
15,OB,OFF 15,37,16,25,15,
16,64,26,53,42,6,18,
17,64,41,OFF 5,35,4,13,
18,67,40,48,,TD,36,
19,50,12,45,OFF 5,2,13,
20,64,13,29*,19,13,17,
21,64,38,50,11,5,20,
22,68,23,44,8,72,22,
23,70,14,33*,3,15,24,
24,57,27,35*,13,-1,27,
25,60,21,26*,OFF 15,30,26,
26,62,30,52,OFF 15,20,23,
27,54,37,39,23,23,12,
28,64,15,46,18,29,19,
29,72,50,15*,,8,38,
30,64,22,37*,12,2,21,
31,51,32,36*,-1,DEF 15,29,
32,58,16,41*,9,OFF 15,DEF 5X,
33,53,23,38*,2,1,30,
34,56,9,28*,7,26,34,
35,59,18,34*,4,14,12,
36,65,19,43,10,-1,25,
37,75,24,40,6,,28,
38,64,20,45,-1,48,DEF 5,
